skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
data warehousing,https://www.udemy.com/course/data-warehouse-the-ultimate-guide/,https://img-c.udemycdn.com/course/240x135/4626978_4f9c_4.jpg,Nikolai Schuler,Data Warehouse - The Ultimate Guide,"Master Data Warehousing, Dimensional Modeling & ETL process",4.6,8699,All Levels,102 lectures,9 total hours,Current price: $89.99
data warehousing,https://www.udemy.com/course/data-warehouse-fundamentals-for-beginners/,https://img-c.udemycdn.com/course/240x135/2752048_7ce2.jpg,Alan Simon,Data Warehouse Fundamentals for Beginners,Best Practices and Concepts for Architecture and Dimensional Design,4.5,28521,Beginner,68 lectures,5 total hours,Current price: $94.99
data warehousing,https://www.udemy.com/course/become-a-data-warehouse-engineer-dwsqletlssisazure/,https://img-c.udemycdn.com/course/240x135/5340490_a6ca.jpg,247 Learning,"Become a Data Warehouse Engineer - (DW,SQL,ETL/SSIS,Azure)","Practical Data Warehousing:  Data Warehouse Design,Azure Synapse, ETL, Ingesting and Consuming Data in a Data Warehouse",4.5,16,Beginner,86 lectures,7.5 total hours,Current price: $49.99
data warehousing,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379,All Levels,146 lectures,13 total hours,Current price: $94.99
data warehousing,https://www.udemy.com/course/aws-data-engineer/,https://img-c.udemycdn.com/course/240x135/5591620_4e46_2.jpg,"Sundog Education by Frank Kane, Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",AWS Certified Data Engineer Associate 2025 - Hands On!,"AWS DEA-C01 certification prep course with exercises and a full-length practice exam. Redshift, Glue, Athena, and more",4.6,7915,Intermediate,289 lectures,22 total hours,Current price: $94.99
data warehousing,https://www.udemy.com/course/the-data-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6450865_98e6.jpg,365 Careers,The Data Engineer Bootcamp 2025,"Master Data Engineering, Build Scalable Pipelines, and Land a High-Paying Job. Learn with a Silicon Valley Data Engineer",4.7,49,All Levels,115 lectures,8 total hours,Current price: $54.99
data warehousing,https://www.udemy.com/course/data-architecture-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/6268045_b022.jpg,Manas Jain,Data Architecture for Data Engineers: Practical Approaches,"Building Scalable, Efficient Data Solutions with Real-World Applications",4.5,119,All Levels,41 lectures,4 total hours,Current price: $69.99
data warehousing,https://www.udemy.com/course/databricks-certified-data-engineer-associate/,https://img-c.udemycdn.com/course/240x135/4956262_2022_2.jpg,Derar Alhussein | 8x Databricks Certified,Databricks Certified Data Engineer Associate - Preparation,Preparation course for Databricks Data Engineer Associate certification exam with hands-on training,4.5,7978,All Levels,39 lectures,4.5 total hours,Current price: $84.99
data warehousing,https://www.udemy.com/course/snowflake-masterclass/,https://img-c.udemycdn.com/course/240x135/4019302_61f6_15.jpg,Nikolai Schuler,Snowflake – The Complete Masterclass,Master Snowflake & cloud data warehouse from the ground up,4.6,20910,All Levels,179 lectures,16.5 total hours,Current price: $99.99
data warehousing,https://www.udemy.com/course/data-mesh-demystified/,https://img-c.udemycdn.com/course/240x135/6236811_f1f4_2.jpg,Manas Jain,Data Mesh Architecture For Data Engineers,"Data Mesh Architecture for Data Engineers: Building Scalable, Decentralized Data Architectures for Modern Organizations",4.5,60,All Levels,30 lectures,2 total hours,Current price: $54.99
