skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
android,https://www.udemy.com/course/master-android-7-nougat-java-app-development-step-by-step/,https://img-c.udemycdn.com/course/240x135/919872_ed54_6.jpg,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",Android Java Masterclass - Become an App Developer,Improve your career options by learning Android app Development. Master Android Studio and build your first app today,4.3,10689,All Levels,324 lectures,60.5 total hours,Current price: $109.99
android,https://www.udemy.com/course/android-java-app-development-masterclass/,https://img-c.udemycdn.com/course/240x135/872936_4ae1_4.jpg,Fahd Sheraz,Android & Java Developer Bootcamp,"Learn Android App Development, Java, Android Studio & IntelliJ IDEA from Scratch.",4.2,166,All Levels,212 lectures,33 total hours,Current price: $69.99
android,https://www.udemy.com/course/the-complete-android-10-developer-course-mastering-android/,https://img-c.udemycdn.com/course/240x135/2549063_3daf_6.jpg,Abbass Masri - Doc. Ali Alaeddine,The Complete Android 15 Course [Part 1]-Master Java & Kotlin,Learn Android App Development in both Java & Kotlin Languages. You'll master Android from ZERO to HERO,4.4,6054,All Levels,784 lectures,65.5 total hours,Current price: $94.99
android,https://www.udemy.com/course/complete-android-course/,https://img-c.udemycdn.com/course/240x135/2232990_f2c4_3.jpg,Bihan Mahadewa,Complete Android Developer Course - Android 11 with Java,Create over 50+ android activities and create your own Twitter app clone. Become a master at Android Development.,4.3,302,All Levels,160 lectures,21.5 total hours,Current price: $59.99
android,https://www.udemy.com/course/android-development-android-app-development-from-scratch/,https://img-c.udemycdn.com/course/240x135/2494990_fde0_7.jpg,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL",Android Development: Android App Development From Scratch,"Learn java, android, android studio, android development and android app development with Android 11, become a developer",4.5,268,Beginner,202 lectures,34 total hours,Current price: $74.99
android,https://www.udemy.com/course/kotlin-android/,https://img-c.udemycdn.com/course/240x135/1243476_b9d9_5.jpg,Peter Sommerhoff,Kotlin for Android & Java Developers: Clean Code on Android,"Become a professional Kotlin developer and write cleaner code in your Android apps than in Java, avoid boilerplate code",4.5,1701,Intermediate,105 lectures,9.5 total hours,Current price: $74.99
android,https://www.udemy.com/course/the-complete-android-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/2835200_53a3_11.jpg,Vin Norman,Android App Development Bootcamp - Beginner to Pro,Master Android Development - Learn Java AND Kotlin - Jetpack Room Database - MVVM - Fragments - Google Tasks clone,4.7,2188,All Levels,313 lectures,51 total hours,Current price: $84.99
android,https://www.udemy.com/course/android-kotlin-developer/,https://img-c.udemycdn.com/course/240x135/2642574_61bb_2.jpg,"Denis Panjuta, Tutorials.eu by Denis Panjuta",The Complete Android 14 & Kotlin Development Masterclass,"Learn Android 14 App Development From Beginner to Advanced Developer. Build Apps like Trello, 7Min Workout, Weather App",4.5,17895,All Levels,519 lectures,66.5 total hours,Current price: $89.99
android,https://www.udemy.com/course/full-android-11-masterclass-course-with-java-53-hours/,https://img-c.udemycdn.com/course/240x135/4150774_db89_5.jpg,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL",Android App Development Master Course with Java | Android,Android Java | Learn Android App Development java with Android Studio & Java to master your android development skills,4.2,659,All Levels,472 lectures,76.5 total hours,Current price: $74.99
android,https://www.udemy.com/course/the-complete-android-oreo-developer-course/,https://img-c.udemycdn.com/course/240x135/1405812_931d_2.jpg,"Rob Percival, Nick Walter, Codestars • over 2 million students worldwide!",The Complete Android Oreo Developer Course - Build 23 Apps!,"Learn Android O App Development using Java & Kotlin - build real apps including Super Mario Run, Whatsapp and Instagram!",4.1,17702,All Levels,273 lectures,37.5 total hours,Current price: $139.99
android,https://www.udemy.com/course/kotlin-for-java-developers/,https://img-c.udemycdn.com/course/240x135/1322796_9675.jpg,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",Kotlin for Java Developers,"Use your Java skills to learn Kotlin fast. Enhance career prospects and master Kotlin, including Java interoperability",4.5,5138,All Levels,92 lectures,17 total hours,Current price: $74.99
android,https://www.udemy.com/course/android-app-development-course-with-kotlin-java-android/,https://img-c.udemycdn.com/course/240x135/4314674_bbf8_2.jpg,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL",Android App Development Course with Kotlin & Java | Android,"Android App development | Boost mobile app development skills with android studio using Kotlin, Java android development",4.6,198,All Levels,117 lectures,25 total hours,Current price: $69.99
android,https://www.udemy.com/course/learn-java-to-master/,https://img-c.udemycdn.com/course/240x135/5138676_4242_5.jpg,Suvarna Sachin Barsode,Learn Java Masterclass(updated to Java 17),Build a strong career base for senior Java developer as well as Android developer job post,4.3,548,All Levels,215 lectures,98.5 total hours,Current price: $59.99
android,https://www.udemy.com/course/kotlin-java/,https://img-c.udemycdn.com/course/240x135/723250_1750_5.jpg,Dmitri Nesteruk,Introduction to Kotlin for Java Developers,"Learn Kotlin, a modern language for the JVM (now officially supported on Android!)",4.6,609,All Levels,54 lectures,5 total hours,Current price: $49.99
android,https://www.udemy.com/course/learn-android-app-development-from-scratch-with-java/,https://img-c.udemycdn.com/course/240x135/3320530_fe34.jpg,Maid Rondić,The complete Java Android App development Bootcamp,Learn Android development fundamentals and start creating your own Android applications,4.5,532,All Levels,116 lectures,25 total hours,Current price: $89.99
android,https://www.udemy.com/course/androidappcourse/,https://img-c.udemycdn.com/course/240x135/2863528_6b39_4.jpg,"Meisam Mansourzadeh, Joe Parys",The Complete Android App Development Masterclass: Build Apps,Create Real World Applications using Java and Become A Professional Android App Developer From Scratch Today!,4.2,851,All Levels,116 lectures,39.5 total hours,Current price: $54.99
android,https://www.udemy.com/course/build-real-android-apps-android-app-development-with-java/,https://img-c.udemycdn.com/course/240x135/3519984_95e1_5.jpg,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL",Android App Development with 7 Real Android Apps and Java,"Android App Development with Android Studio & Java, boost your android development skills with 7 different Android Apps",4.4,189,Beginner,286 lectures,48 total hours,Current price: $79.99
