skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
jpa,https://www.udemy.com/course/hibernate-and-jpa-fundamentals/,https://img-c.udemycdn.com/course/240x135/242180_db25_47.jpg,Deshraj Singh Kiran,Java Persistence: Hibernate and JPA Fundamentals,A simple-to-follow and easy-to-understand course on Java Persistence API (JPA) with Hibernate,4.4,6552,All Levels,87 lectures,14 total hours,Current price: $79.99
jpa,https://www.udemy.com/course/full-stack-react-and-java-spring-boot-the-developer-guide/,https://img-c.udemycdn.com/course/240x135/4659752_7514.jpg,"Chad Darby, Eric Roby",Full Stack: React and Java Spring Boot - The Developer Guide,"Build a Full Stack App - React and Java Spring Boot, Stripe Credit Card Payments, Spring Security, JWT, Spring Data JPA",4.4,2414,Intermediate,319 lectures,26.5 total hours,Current price: $89.99
jpa,https://www.udemy.com/course/java-enterprise-edition-8/,https://img-c.udemycdn.com/course/240x135/1789268_3844.jpg,"Tim Buchalka's Learn Programming Academy, Luqman Saeed",Java Enterprise Edition 8 for Beginners course,"Understand Jakarta EE, JPA, CDI, JAX-RS, REST, JWT, JSON-P and JSON-B and more. Add JEE Developer to your résumé!",4.3,3358,All Levels,386 lectures,30 total hours,Current price: $79.99
jpa,https://www.udemy.com/course/hibernate-jpa-tutorial-for-beginners-in-100-steps/,https://img-c.udemycdn.com/course/240x135/1341538_b1e7_4.jpg,in28Minutes Official,Master Hibernate and JPA with Spring Boot in 100 Steps,"Learn Hibernate, JPA (Java Persistence API) and Spring Data JPA using Spring and Spring Boot",4.5,12919,All Levels,170 lectures,14 total hours,Current price: $109.99
jpa,https://www.udemy.com/course/spring-5-with-spring-boot-2/,https://img-c.udemycdn.com/course/240x135/2167814_a0e6_5.jpg,"Navin Reddy, Telusko",Java Spring Framework 6 with Spring Boot 3,"Master Java, Spring 6 and Spring Boot 3 with JDBC, JPA, Security, Docker and Microservices with Telusko",4.6,27979,All Levels,427 lectures,48.5 total hours,Current price: $109.99
jpa,https://www.udemy.com/course/spring-boot-using-intellij-build-a-real-world-project/,https://img-c.udemycdn.com/course/240x135/4298517_aa5d_3.jpg,"Faisal Memon (EmbarkX), EmbarkX Official",Java Spring Boot: Professional eCommerce Project Masterclass,"Spring Framework + Spring Boot Full Stack: eCommerce REST API, Spring Data JPA, Spring Security 6, JWT, Deploy on AWS",4.6,1374,All Levels,635 lectures,89 total hours,Current price: $74.99
jpa,https://www.udemy.com/course/spring-springboot-jpa-hibernate-zero-to-master/,https://img-c.udemycdn.com/course/240x135/4364200_0221_5.jpg,"Eazy Bytes, Madan Reddy","[NEW] Master Spring 6, Spring Boot 3, REST, JPA, Hibernate","Master Java framework Spring 6, AOP, Spring MVC, Spring Boot 3, Thymeleaf, Spring Security 6, Spring JDBC, JPA,REST",4.6,4891,Beginner,251 lectures,36.5 total hours,Current price: $89.99
jpa,https://www.udemy.com/course/restful-web-service-with-spring-boot-jpa-and-mysql/,https://img-c.udemycdn.com/course/240x135/1616708_c407_3.jpg,Sergey Kargopolov,"RESTful Web Services, Java, Spring Boot, Spring MVC and JPA","Implement API calls: Sign-up, sign-in, email verification, password reset, update, delete. Deploy to Amazon AWS Cloud.",4.5,4215,All Levels,300 lectures,25 total hours,Current price: $79.99
jpa,https://www.udemy.com/course/jpa-and-hibernate-essentials/,https://img-c.udemycdn.com/course/240x135/6391943_7eef.jpg,Koushik Kothagal,JPA and Hibernate Essentials: Learn Java ORM persistence,"JPA & Hibernate: Master Database Mapping, Entity Relationships, CRUD Operations, and Spring Boot Integration",5.0,1,Intermediate,54 lectures,7.5 total hours,Current price: $44.99
jpa,https://www.udemy.com/course/hibernate-and-spring-data-jpa-beginner-to-guru/,https://img-c.udemycdn.com/course/240x135/4022034_43a6_2.jpg,"John Thompson • 500,000+ Enrollments Worldwide, Spring Ahead Code Academy",Hibernate and Spring Data JPA: Beginner to Guru,"Master Hibernate, Remove the mystery of Spring Data JPA - Use Spring Boot 3!",4.6,1052,All Levels,248 lectures,30.5 total hours,Current price: $84.99
jpa,https://www.udemy.com/course/jpa-orm-springdata-jpa-for-complete-beginner-with-handson/,https://img-c.udemycdn.com/course/240x135/6082835_a63b_5.jpg,Obify Consulting,JPA ORM & SpringData JPA for Complete Beginner with Handson,"Enter the world of ORM with Java, JPA and SpringData JPA. Learn all the concepts with practical examples and handson",4.7,11,All Levels,86 lectures,4 total hours,Current price: $19.99
jpa,https://www.udemy.com/course/spring-data-jpa-fundamentals-with-hibernate/,https://img-c.udemycdn.com/course/240x135/4558528_bcaa_3.jpg,Deshraj Singh Kiran,Spring Data JPA Fundamentals (with Hibernate),Learn how to use Spring Data JPA efficiently in your Spring Boot Applications,4.8,148,All Levels,70 lectures,14 total hours,Current price: $74.99
jpa,https://www.udemy.com/course/spring-data-jpa-using-hibernate/,https://img-c.udemycdn.com/course/240x135/958924_0719_3.jpg,Bharath Thippireddy,Spring Data JPA Using Hibernate,Learn and use the most popular ORM Frameworks in easy steps,4.7,2893,All Levels,285 lectures,13 total hours,Current price: $84.99
jpa,https://www.udemy.com/course/spring-boot-and-spring-framework-tutorial-for-beginners/,https://img-c.udemycdn.com/course/240x135/4993276_3452.jpg,in28Minutes Official,[NEW] Master Spring Boot 3 & Spring Framework 6 with Java,"Become Java Spring Boot Full Stack Developer. Learn Spring Framework, Spring Boot, Spring Data, Docker & AWS",4.6,9808,All Levels,423 lectures,39 total hours,Current price: $99.99
jpa,https://www.udemy.com/course/javamasterclass/,https://img-c.udemycdn.com/course/240x135/6211415_d24a_2.jpg,"Denis Panjuta, Tutorials.eu by Denis Panjuta, Jafar TutorialsEU",60 Days of Java : The Complete Java Masterclass,"Master Java by building real-world projects. Learn JavaFX, Spring Boot, REST APIs, and more!",4.6,526,All Levels,729 lectures,58 total hours,Current price: $89.99
jpa,https://www.udemy.com/course/java-the-complete-java-developer-course/,https://img-c.udemycdn.com/course/240x135/533682_c10c_4.jpg,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Edwin Einsen Vásquez Velásquez, Igor Popovic",Java Masterclass 2025: 130+ Hours of Expert Lessons,"Gain real-world experience with OOP, coding exercises, and problem-solving for job-ready Java development skills",4.6,205616,All Levels,736 lectures,135.5 total hours,Current price: $139.99
jpa,https://www.udemy.com/course/the-complete-spring-boot-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/4695284_83ea_8.jpg,"Rayan Slim, Jose Portilla, Jad Slim, Pierian Training, Amer Abdulkader, Sarmad Tanveer",Spring Boot Course: Learn Spring Boot & Build Web APIs,"Java Web Development: MVC, Beans, React (Full Stack), REST, Testing, OpenAPI, Spring Data JPA, SQL, Spring Security, JWT",4.5,3009,All Levels,150 lectures,12 total hours,Current price: $94.99
jpa,https://www.udemy.com/course/hibernate-and-java-persistence-api-jpa-fundamentals/,https://img-c.udemycdn.com/course/240x135/419374_8897_5.jpg,Infinite Skills,Hibernate and Java Persistence API (JPA) Fundamentals,Get smarter about how you work with Java and databases in this thorough hands-on course.,4.2,811,,Expert,7.5 total hours,Current price: $44.99
jpa,https://www.udemy.com/course/zero-to-hero-java-springboot-jpa-mastery-with-real-project/,https://img-c.udemycdn.com/course/240x135/4527584_d4a1.jpg,Ranjan Pandey,Zero to Hero Java SpringBoot & JPA Mastery with Real Project,"Experience how projects are developed in real life in IT companies using Java, SpringBoot, JPA and RESTful webservices",4.5,157,Beginner,96 lectures,11 total hours,Current price: $69.99
jpa,https://www.udemy.com/course/master-spring-data-jpa-with-hibernate/,https://img-c.udemycdn.com/course/240x135/4696514_06f6.jpg,Ramesh Fadatare (Java Guides),Master Spring Data JPA with Hibernate: E-Commerce Project,Learn Spring Data JPA Features and Learn to Build Domain Model Relationships for E-Commerce Project Using Hibernate ORM,4.5,479,Beginner,150 lectures,15 total hours,Current price: $74.99
