skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
object-oriented design,https://www.udemy.com/course/java-and-object-oriented-programming-basics-to-advance/,https://img-c.udemycdn.com/course/240x135/5662839_c725.jpg,Dr. Shahram Taheri,Java and Object-Oriented Programming - Basics to Advanced,"Learn Java fundamentals and OOP concepts such as: Inheritance, Polymorphism, Interface, Collections, GUI and 2D Graphics",4.7,36,All Levels,95 lectures,21 total hours,Current price: $64.99
object-oriented design,https://www.udemy.com/course/uml-and-object-oriented-design-foundations/,https://img-c.udemycdn.com/course/240x135/1464836_cde5_3.jpg,Karoly Nyisztor • Professional Software Architect,UML and Object-Oriented Design Foundations,Get started with Object-Oriented Design and the Unified Modeling Language (UML). Use UML for effective communication!,4.6,8545,Beginner,49 lectures,2.5 total hours,Current price: $74.99
object-oriented design,https://www.udemy.com/course/bsc-object-oriented/,https://img-c.udemycdn.com/course/240x135/669522_23eb_3.jpg,Loony Corn,Byte Size Chunks: Java Object-Oriented Programming & Design,A little treat with all you need to know about Object-Oriented Programming in Java,4.3,26,Beginner,37 lectures,7 total hours,Current price: $39.99
object-oriented design,https://www.udemy.com/course/object-oriented-design-patterns-by-yalco/,https://img-c.udemycdn.com/course/240x135/6367543_1202_3.jpg,Coding with Yalco,25 Object-Oriented Design Patterns by Yalco,You will learn various ways to design software in an object-oriented manner through the 25 patterns of OODP.,5.0,2,Intermediate,30 lectures,3 total hours,Current price: $54.99
object-oriented design,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,https://img-c.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,in28Minutes Official,Java Programming for Complete Beginners [2025],Java Programming for Beginners to Java Object Oriented Programming. Core Java + Spring Boot. Java 8 to Java 24.,4.5,49448,Beginner,749 lectures,59 total hours,Current price: $119.99
object-oriented design,https://www.udemy.com/course/design-patterns-in-java-concepts-hands-on-projects/,https://img-c.udemycdn.com/course/240x135/1568344_c15a_4.jpg,Coffee Powered Crew,Java Design Patterns & SOLID Design Principles,A master guide to gang of four design patterns & SOLID design principles using Java,4.5,6196,Intermediate,253 lectures,17 total hours,Current price: $89.99
object-oriented design,https://www.udemy.com/course/the-complete-java-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/3740582_cc2c_9.jpg,"Rayan Slim, Jad Slim, Amer Abdulkader, Jose Portilla, Pierian Training, Sarmad Tanveer",Java Bootcamp: Learn Java with 100+ Java Projects,"Master Core Java: OOP, Collections, Lambda, Streams, Threads & Real-World Projects",4.6,9216,All Levels,434 lectures,29.5 total hours,Current price: $109.99
object-oriented design,https://www.udemy.com/course/java-the-complete-java-developer-course/,https://img-c.udemycdn.com/course/240x135/533682_c10c_4.jpg,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Edwin Einsen Vásquez Velásquez, Igor Popovic",Java Masterclass 2025: 130+ Hours of Expert Lessons,"Gain real-world experience with OOP, coding exercises, and problem-solving for job-ready Java development skills",4.6,205616,All Levels,736 lectures,135.5 total hours,Current price: $139.99
object-oriented design,https://www.udemy.com/course/practice-java-by-building-projects/,https://img-c.udemycdn.com/course/240x135/1360780_1421_6.jpg,Tim Short,Practice Java by Building Projects,Ultimate Java interview prep course! 100% focused on applying object-oriented design in real-world applications,4.5,11144,All Levels,39 lectures,3.5 total hours,Current price: $49.99
object-oriented design,https://www.udemy.com/course/javamasterclass/,https://img-c.udemycdn.com/course/240x135/6211415_d24a_2.jpg,"Denis Panjuta, Tutorials.eu by Denis Panjuta, Jafar TutorialsEU",60 Days of Java : The Complete Java Masterclass,"Master Java by building real-world projects. Learn JavaFX, Spring Boot, REST APIs, and more!",4.6,526,All Levels,729 lectures,58 total hours,Current price: $89.99
object-oriented design,https://www.udemy.com/course/java-se-programming/,https://img-c.udemycdn.com/course/240x135/2462140_b27f_2.jpg,Abdul Bari,Learn JAVA Programming - Beginner to Master,Deep Dive in Core Java programming -Standard Edition. A Practical approach to learn Java. Become a Java Expert,4.6,26143,All Levels,333 lectures,61.5 total hours,Current price: $109.99
object-oriented design,https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,https://img-c.udemycdn.com/course/240x135/358540_d06b_16.jpg,Dheeru Mundluru,Java In-Depth: Become a Complete Java Engineer!,"Java programming bootcamp integrated with best practices, design rules and instructor-led Java EE project. Up to Java 21",4.6,23634,All Levels,410 lectures,76 total hours,Current price: $119.99
object-oriented design,https://www.udemy.com/course/mastering-advanced-java-with-object-oriented-programming/,https://img-c.udemycdn.com/course/240x135/5677370_7a8c.jpg,Metla Sudha Sekhar,Mastering Advanced Java with Object-Oriented Programming,"Unleashing the Power of Advanced Java: A Comprehensive Guide to Object-Oriented, Dependency Injection, and Package",4.4,157,All Levels,59 lectures,6.5 total hours,Current price: $19.99
object-oriented design,https://www.udemy.com/course/oo-se-java/,https://img-c.udemycdn.com/course/240x135/1681934_d3da_4.jpg,Anis Koubaa,Object-Oriented Software Engineering with Java,Mastering Object Oriented Programming with Java,4.7,208,Intermediate,27 lectures,6.5 total hours,Current price: $79.99
object-oriented design,https://www.udemy.com/course/java-object-oriented-programming-analysis-design-oops-ooad/,https://img-c.udemycdn.com/course/240x135/2446316_64a8_4.jpg,Basics Strong,Java Object Oriented Programming:OOPS OOAD & Design Patterns,"Master Object Oriented in Java, SOLID Design principles, Design Patterns, OOPs philosophy with best practices - 2/e 2019",4.1,1197,Intermediate,82 lectures,11 total hours,Current price: $84.99
object-oriented design,https://www.udemy.com/course/ap-computer-science-b-java-object-oriented-programming/,https://img-c.udemycdn.com/course/240x135/652422_81cd_7.jpg,Eric Chou,Java Object-Oriented Programming: AP Computer Science B,"AP Computer Science, Java Programming, Object-Oriented Programming, Java GUI, OOP,  Java, Algorithms, Data Structure",4.6,104,Intermediate,256 lectures,52.5 total hours,Current price: $64.99
object-oriented design,https://www.udemy.com/course/python-oop-course/,https://img-c.udemycdn.com/course/240x135/3830896_df75_3.jpg,Karim Elghamrawy,Python OOP Course: Master Object-Oriented Programming,"Master Python OOP and Become a Better Python Programmer by Writing Modular, Readable, and Reusable Python OOP Code",4.6,352,All Levels,38 lectures,5.5 total hours,Current price: $69.99
object-oriented design,https://www.udemy.com/course/java-oop-iter-academy/,https://img-c.udemycdn.com/course/240x135/6408069_84c7.jpg,"Andrii Partola, ITER Academy",Java OOP: Object Oriented Programming with Exercises - 2025,"Object Oriented Programming (OOP), Classes, Objects, Encapsulation, Inheritance, Polymorphism, SOLID and more",4.6,92,All Levels,13 lectures,3.5 total hours,Current price: $54.99
object-oriented design,https://www.udemy.com/course/javascript-object-oriented-programming/,https://img-c.udemycdn.com/course/240x135/1642074_7ef3.jpg,Mosh Hamedani,Object-oriented Programming in JavaScript,"Learn all about OOP, understand the most confusing parts of JavaScript and prepare for technical interviews",4.7,4319,Intermediate,64 lectures,4 total hours,Current price: $64.99
object-oriented design,https://www.udemy.com/course/software-architecture-learnit/,https://img-c.udemycdn.com/course/240x135/3957390_1f27.jpg,"Andrii Piatakha, Learn IT University",Software Architecture and Clean Code Design in OOP,Learn design patterns and principles for Object-oriented programming to make your software scalable and easy to maintain,4.4,586,All Levels,151 lectures,49 total hours,Current price: $69.99
