skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
aws,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
aws,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
aws,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01-exam-prep/,https://img-c.udemycdn.com/course/240x135/6188041_95ae.jpg,Nikolai Schuler,AWS Certified Machine Learning Engineer - Associate MLA-C01,The ONLY course you need to PASS the AWS Certified Machine Learning Engineer Exam | MLA-C01 | Incl. FULL Practice Exam!,4.6,263,All Levels,252 lectures,26.5 total hours,Current price: $89.99
aws,https://www.udemy.com/course/aws-machine-learning/,https://img-c.udemycdn.com/course/240x135/2529790_a0c6_9.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane, Sundog Education Team",AWS Certified Machine Learning Specialty 2025 - Hands On!,"AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling & more",4.6,15104,Intermediate,167 lectures,15 total hours,Current price: $119.99
aws,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-mla-c01/,https://img-c.udemycdn.com/course/240x135/6277145_55fc_10.jpg,Marlon Anesi | Python | AI | DevOps | AWS Certified Architect,Practice Exams - Ace AWS Certified Machine Learning MLA-C01,Pass in AWS Certified MLA-C01 exam! Study with 390 Practice Questions + Objective explanations for each answer!,4.6,136,Intermediate,390 questions,,Current price: $69.99
aws,https://www.udemy.com/course/aws-machine-learning-engineer-associate-practice-exams/,https://img-c.udemycdn.com/course/240x135/6203243_dd68.jpg,Nikolai Schuler,Practice Exams | AWS Machine Learning Engineer - Associate,ACE the AWS Certified Machine Learning Engineer Associate Exam MLA-C01 | Full Practice Exam Sets + Detailed Explanations,4.4,57,All Levels,260 questions,,Current price: $69.99
aws,https://www.udemy.com/course/become-an-aws-machine-learning-engineer-in-30-days-new-2022/,https://img-c.udemycdn.com/course/240x135/4579406_6c5e_10.jpg,Dr. Ryan Ahmed | 400K+ Students | Best-Selling Professor | 250K+ YouTube,AWS SageMaker Machine Learning Engineer in 30 Days + ChatGPT,"Build 30+ ML Projects in 30 Days in AWS, Master SageMaker JumpStart, Canvas, AutoPilot, DataWrangler, Lambda & S3",4.4,1055,Beginner,481 lectures,43 total hours,Current price: $99.99
aws,https://www.udemy.com/course/aws-certified-machine-learning-engineer-certified/,https://img-c.udemycdn.com/course/240x135/6206299_e969_2.jpg,Kumar Mishra,AWS Certified Machine Learning Engineer Associate| (Jan-25),Validate your skills in machine learning on AWS through this exam.,5.0,1,All Levels,413 questions,,Current price: $19.99
aws,https://www.udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,https://img-c.udemycdn.com/course/240x135/992566_aeb4_8.jpg,"Chandra Lingam, Compute with Cloud Support",AWS Certified Machine Learning Specialty MLS-C01 [2025],"Experience AWS SageMaker:  A Practical Course with Hands-On Learning, Practice Tests. Deploy DeepSeek LLM & Hugging Face",4.5,4032,All Levels,273 lectures,19.5 total hours,Current price: $139.99
aws,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-prep/,https://img-c.udemycdn.com/course/240x135/6079637_55d4.jpg,Wesam Qawasmeh,AWS Certified Machine Learning Engineer - Associate 2025,AWS Certified Machine Learning Engineer - Associate Prep:  Practical Applications for Certification Success,3.1,2,All Levels,600 questions,,Current price: $19.99
