skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
databricks,https://www.udemy.com/course/databricks-machine-learning/,https://img-c.udemycdn.com/course/240x135/5279024_9dc7.jpg,"Ankit Mistry : 150,000+ Students, Vijay Gadhave, Ajay Gadhave",Databricks Certified Machine Learning Associate Exam Guide,Pass Databricks Certified Machine Learning Associate Certification with 10+ Hours of HD Quality Video & Lots of Hands-on,4.3,547,All Levels,124 lectures,16 total hours,Current price: $79.99
databricks,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
databricks,https://www.udemy.com/course/databricks-certified-data-engineer-associate/,https://img-c.udemycdn.com/course/240x135/4956262_2022_2.jpg,Derar Alhussein | 8x Databricks Certified,Databricks Certified Data Engineer Associate - Preparation,Preparation course for Databricks Data Engineer Associate certification exam with hands-on training,4.5,7978,All Levels,39 lectures,4.5 total hours,Current price: $84.99
databricks,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
databricks,https://www.udemy.com/course/databricks-data-engineer-professional-practice-tests-in-2024/,https://img-c.udemycdn.com/course/240x135/6294719_32f0.jpg,Master Data,Databricks Data Engineer Professional Practice Tests In 2025,Real questions for Databricks Data Engineer Professional certification exam (Latest Version) 2025,4.5,45,Intermediate,143 questions,,Current price: $64.99
databricks,https://www.udemy.com/course/databricks-certified-data-engineer-professional/,https://img-c.udemycdn.com/course/240x135/5125510_214e_3.jpg,Derar Alhussein | 8x Databricks Certified,Databricks Certified Data Engineer Professional -Preparation,Preparation course for Databricks Data Engineer Professional certification exam with hands-on training,4.5,2046,,Expert,3 total hours,Current price: $79.99
databricks,https://www.udemy.com/course/databricks-certified-generative-ai-engineer-associate-practice-sets/,https://img-c.udemycdn.com/course/240x135/6305157_0b84_4.jpg,V K,Databricks Certified Generative AI Engineer Practice Sets,"Prepare smarter, not harder! Your Ultimate Resource for the Databricks Certified Generative AI Engineer Associate Exam!",4.8,50,All Levels,270 questions,,Current price: $74.99
databricks,https://www.udemy.com/course/practice-exams-databricks-certified-data-engineer-associate/,https://img-c.udemycdn.com/course/240x135/5005556_5c54.jpg,Derar Alhussein | 8x Databricks Certified,Practice Exams: Databricks Certified Data Engineer Associate,Practice Tests with Detailed Explanations for Databricks Data Engineer Associate certification exam (Latest Version),4.6,3692,All Levels,90 questions,,Current price: $69.99
databricks,https://www.udemy.com/course/practice-exams-databricks-data-engineer-professional-k/,https://img-c.udemycdn.com/course/240x135/5317104_98d4.jpg,Derar Alhussein | 8x Databricks Certified,Practice Exams: Databricks Data Engineer Professional,Practice Tests with Detailed Explanations for the Databricks Certified Data Engineer Professional exam,4.3,888,,Expert,,Current price: $64.99
databricks,https://www.udemy.com/course/databricks-machine-learning-associate-practice-tests-2024/,https://img-c.udemycdn.com/course/240x135/6047837_4991.jpg,Abdelkrim Alili,Databricks Machine Learning Associate Practice Tests 2024,Get the Latest and Updated Practice Tests for the Databricks Certified Machine Learning Associate exam 2024,4.3,75,All Levels,671 questions,,Current price: $64.99
databricks,https://www.udemy.com/course/azure-databricks-spark-core-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/4182538_bdf1_3.jpg,Ramesh Retnasamy,Azure Databricks & Spark For Data Engineers:Hands-on Project,"Real World Project on Formula1 Racing using Databricks, PySpark, Spark SQL, Delta Lake, Unity Catalog,Azure Data Factory",4.6,21234,All Levels,190 lectures,20 total hours,Current price: $99.99
databricks,https://www.udemy.com/course/master-azure-databricks-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/5733038_d495.jpg,"Learning Journal, Prashant Kumar Pandey",Databricks - Master Azure Databricks for Data Engineers,Learn Azure Databricks for professional data engineers using PySpark and Spark SQL with an end-to-end capstone project,4.7,1933,All Levels,91 lectures,17.5 total hours,Current price: $84.99
