skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
decision trees,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/,https://img-c.udemycdn.com/course/240x135/5993822_2c2a_7.jpg,"Krish Naik, KRISHAI Technologies Private Limited","Complete Data Science,Machine Learning,DL,NLP Bootcamp","Master the theory, practice,and math behind Data Science,Machine Learning,Deep Learning,NLP with end to end projects",4.5,11296,All Levels,429 lectures,99 total hours,Current price: $94.99
decision trees,https://www.udemy.com/course/decision-trees-for-machine-learning/,https://img-c.udemycdn.com/course/240x135/1915334_18bc_3.jpg,Sefik Ilkin Serengil,Decision Trees for Machine Learning From Scratch,Learn to build decision trees for applied machine learning from scratch in Python.,4.0,87,Beginner,24 lectures,3.5 total hours,Current price: $44.99
decision trees,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
decision trees,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,Current price: $119.99
decision trees,https://www.udemy.com/course/random-forest-adaboost-decision-trees-in-machine-learning/,https://img-c.udemycdn.com/course/240x135/2544273_ff23.jpg,"Teach Apex, Teach Apex Pro","Machine Learning: Random Forest, Adaboost & Decision Tree","Learn Advanced Machine Learning on Random Forest, Adaboost, Decision Trees Hands-on",4.0,18,All Levels,22 lectures,3 total hours,Current price: $19.99
decision trees,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
decision trees,https://www.udemy.com/course/machine-learning-and-deep-learning-in-one-semester/,https://img-c.udemycdn.com/course/240x135/5515424_18ee_2.jpg,Zeeshan Ahmad,Machine Learning & Deep Learning Masterclass in One Semester,"Practical Oriented Explanations by solving more than 80 projects with NumPy, Scikit-learn, Pandas, Matplotlib, PyTorch.",4.4,38,All Levels,307 lectures,47 total hours,Current price: $64.99
decision trees,https://www.udemy.com/course/machine-learning-using-azureml/,https://img-c.udemycdn.com/course/240x135/1088256_077d_2.jpg,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team",DP-100: A-Z Machine Learning using Azure Machine Learning,Microsoft Azure DP-100: Designing and Implementing a Data Science Solution Exam Covered. Learn Azure Machine Learning,4.4,7796,All Levels,230 lectures,26.5 total hours,Current price: $124.99
decision trees,https://www.udemy.com/course/decision-trees-random-forests-get-ready-with-python/,https://img-c.udemycdn.com/course/240x135/4844944_a87a.jpg,Wim Koevoets,Master Decision Trees and Random Forests with Scikit-learn,Get to the bottom of how to make predictions with them and enjoy your competitive edge. Jupyter Notebooks included.,4.4,8,All Levels,101 lectures,4 total hours,Current price: $39.99
decision trees,https://www.udemy.com/course/machine-learning-with-projects-on-retail-marketing-analytics/,https://img-c.udemycdn.com/course/240x135/3751642_8d21_4.jpg,Machine Learning Express,Master Marketing Analytics with Python and Machine Learning,Level up your marketing career with data analytics skills | Learn Python & ML to optimize your marketing campaigns,4.5,85,Intermediate,145 lectures,25.5 total hours,Current price: $69.99
