skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
mathematics of machine learning,https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,https://img-c.udemycdn.com/course/240x135/3501832_8dbc_3.jpg,"Dr Jon Krohn, SuperDataScience Team, Ligency Team",Mathematical Foundations of Machine Learning,"Essential Linear Algebra and Calculus Hands-On in NumPy, TensorFlow, and PyTorch",4.6,7135,All Levels,114 lectures,16.5 total hours,
mathematics of machine learning,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/,https://img-c.udemycdn.com/course/240x135/5993822_2c2a_7.jpg,"Krish Naik, KRISHAI Technologies Private Limited","Complete Data Science,Machine Learning,DL,NLP Bootcamp","Master the theory, practice,and math behind Data Science,Machine Learning,Deep Learning,NLP with end to end projects",4.5,11296,All Levels,429 lectures,99 total hours,Current price: $94.99
mathematics of machine learning,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
mathematics of machine learning,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
mathematics of machine learning,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,
mathematics of machine learning,https://www.udemy.com/course/mathematical-foundation-for-machine-learning-and-ai/,https://img-c.udemycdn.com/course/240x135/1713894_9b86.jpg,"Eduonix Learning Solutions, Eduonix-Tech .",Mathematical Foundation For Machine Learning and AI,Learn the core mathematical concepts for machine learning and learn to implement them in R and python,4.3,1289,All Levels,19 lectures,4.5 total hours,
mathematics of machine learning,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01-exam-prep/,https://img-c.udemycdn.com/course/240x135/6188041_95ae.jpg,Nikolai Schuler,AWS Certified Machine Learning Engineer - Associate MLA-C01,The ONLY course you need to PASS the AWS Certified Machine Learning Engineer Exam | MLA-C01 | Incl. FULL Practice Exam!,4.6,263,All Levels,252 lectures,26.5 total hours,Current price: $89.99
mathematics of machine learning,https://www.udemy.com/course/machinelearning/,https://img-c.udemycdn.com/course/240x135/950390_270f_3.jpg,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team","Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2025]",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,4.5,195572,All Levels,386 lectures,43 total hours,Current price: $149.99
mathematics of machine learning,https://www.udemy.com/course/machine-learning-2020-complete-maths-for-machine-learning/,https://img-c.udemycdn.com/course/240x135/2674092_8ec5_3.jpg,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team",Machine Learning : Complete Maths for Machine Learning,"Learn Math for Machine Learning, Math for Data Science, Linear Algebra, Calculus, Vectors & Matrices, Probability & more",4.6,308,Beginner,25 lectures,2.5 total hours,
mathematics of machine learning,https://www.udemy.com/course/google-cloud-machine-learning-engineer-certification-prep/,https://img-c.udemycdn.com/course/240x135/4878666_74ed_3.jpg,"Dan Sullivan, Dan Sullivan",Google Cloud Machine Learning Engineer Certification Prep,"Building, Deploying, and Managing Machine Learning Services at Scale",4.4,1213,All Levels,71 lectures,5.5 total hours,
