skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
neural network,https://www.udemy.com/course/deeplearning/,https://img-c.udemycdn.com/course/240x135/1151632_de9b.jpg,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team","Deep Learning A-Z 2025: Neural Networks, AI & ChatGPT Prize","Learn to create Deep Learning models in Python from two Machine Learning, Data Science experts. Code templates included.",4.5,47836,All Levels,189 lectures,22.5 total hours,Current price: $129.99
neural network,https://www.udemy.com/course/data-science-deep-learning-in-python/,https://img-c.udemycdn.com/course/240x135/713104_d4cb.jpg,"Lazy Programmer Inc., Lazy Programmer Team",Data Science: Deep Learning and Neural Networks in Python,"The MOST in-depth look at neural network theory for machine learning, with both pure Python and Tensorflow code",4.6,10047,Intermediate,90 lectures,12 total hours,Current price: $79.99
neural network,https://www.udemy.com/course/artificial-neural-network-and-machine-learning-using-matlab/,https://img-c.udemycdn.com/course/240x135/3412802_e83e_2.jpg,Nastaran Reza Nazar Zadeh,Artificial Neural Network and Machine Learning using MATLAB,Learn to Create Neural Network with Matlab Toolbox and Easy to Follow Codes; with Comprehensive Theoretical Concepts,4.4,423,All Levels,52 lectures,4.5 total hours,Current price: $59.99
neural network,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
neural network,https://www.udemy.com/course/deep-learning-neural-networks-in-matlab-mnist/,https://img-c.udemycdn.com/course/240x135/2894606_ef6e.jpg,"Eliott Wertheimer, Albert Nassar","Machine Learning, Deep Learning & Neural Networks in Matlab",Learn deep learning from A to Z and create a neural network in MATLAB to recognize handwritten numbers (MNIST database),4.2,153,All Levels,22 lectures,4 total hours,Current price: $44.99
neural network,https://www.udemy.com/course/build-neural-networks-from-scratch-with-python-step-by-step/,https://img-c.udemycdn.com/course/240x135/4475410_130a_18.jpg,Loek van den Ouweland,Neural Networks In Python From Scratch. Build step by step!,Understand machine learning and deep learning by building linear regression and gradient descent from the ground up.,4.7,391,Intermediate,24 lectures,3.5 total hours,Current price: $54.99
neural network,https://www.udemy.com/course/the-complete-neural-networks-bootcamp-theory-applications/,https://img-c.udemycdn.com/course/240x135/1795952_e23e_2.jpg,Fawaz Sammani,"The Complete Neural Networks Bootcamp: Theory, Applications","Deep Learning and Neural Networks Theory and Applications with PyTorch! Including Transformers, BERT and GPT!",4.6,2623,All Levels,306 lectures,44 total hours,Current price: $84.99
neural network,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/,https://img-c.udemycdn.com/course/240x135/5993822_2c2a_7.jpg,"Krish Naik, KRISHAI Technologies Private Limited","Complete Data Science,Machine Learning,DL,NLP Bootcamp","Master the theory, practice,and math behind Data Science,Machine Learning,Deep Learning,NLP with end to end projects",4.5,11296,All Levels,429 lectures,99 total hours,Current price: $94.99
neural network,https://www.udemy.com/course/deep-learning-bootcamp-neural-networks-with-python-pytorch/,https://img-c.udemycdn.com/course/240x135/6187567_703b_2.jpg,AI Sciences,"Deep Learning Bootcamp: Neural Networks with Python, PyTorch","Master Neural Networks, DNNs, and CNNs with Python, PyTorch, and TensorFlow in this all-in-one Deep Learning Bootcamp.",5.0,4,All Levels,153 lectures,14.5 total hours,Current price: $79.99
neural network,https://www.udemy.com/course/machine-learning-build-a-neural-network-in-77-lines-of-code/,https://img-c.udemycdn.com/course/240x135/2134920_7eb7_2.jpg,Milo Spencer-Harper,Machine Learning: Build neural networks in 77 lines of code,Machine Learning and Artificial Intelligence for beginners. How to build a neural network in 77 lines of Python code.,4.6,661,Beginner,18 lectures,,Current price: $27.99
neural network,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,https://img-c.udemycdn.com/course/240x135/807904_7108.jpg,"Lazy Programmer Inc., Lazy Programmer Team",Deep Learning: Convolutional Neural Networks in Python,"Tensorflow 2 CNNs for Computer Vision, Natural Language Processing (NLP) +More! For Data Science & Machine Learning",4.6,6269,All Levels,79 lectures,14 total hours,Current price: $129.99
neural network,https://www.udemy.com/course/neural-network/,https://img-c.udemycdn.com/course/240x135/4722462_9a37.jpg,Dr. Börge Göbel,Neural Networks in Python from Scratch: Learning by Doing,From intuitive examples to image recognition in 3 hours - Experience neuromorphic computing & machine learning hands-on,4.6,55,Beginner,31 lectures,3.5 total hours,Current price: $64.99
neural network,https://www.udemy.com/course/mql5-advancedcode-machine-learning-eas-with-neural-networks/,https://img-c.udemycdn.com/course/240x135/5234084_0d5e_2.jpg,Latvian Trading Solutions,MQL5 ADVANCED:Code Machine learning EAs with Neural Networks,Learn to code a neural network into Expert advisors for a better machine learning based trading performance with MQL5,4.5,69,All Levels,26 lectures,4 total hours,Current price: $69.99
neural network,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
neural network,https://www.udemy.com/course/machine-learning-neural-networks/,https://img-c.udemycdn.com/course/240x135/4887044_2de7_3.jpg,Maxime Vandegar,Machine Learning: Neural networks from scratch,Implementation of neural networks from scratch (Python),4.1,21,Beginner,30 lectures,5 total hours,Current price: $39.99
