skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
application development,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
application development,https://www.udemy.com/course/software-project-management-the-complete-course/,https://img-c.udemycdn.com/course/240x135/2305210_8328_8.jpg,"Dan Prodi, Pipi Rahayu",Software Project Management - The complete course,Project management in software development in traditional and agile projects,4.3,723,All Levels,227 lectures,18.5 total hours,Current price: $54.99
application development,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
application development,https://www.udemy.com/course/project-management-complete-guide-for-a-project-managers/,https://img-c.udemycdn.com/course/240x135/4663650_39fa_9.jpg,"Peter Alkema, Regenesys Business School",Project Management - Complete Guide For A+ Project Managers,"Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing",4.4,793,All Levels,454 lectures,28 total hours,Current price: $74.99
application development,https://www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,https://img-c.udemycdn.com/course/240x135/1759114_873a_13.jpg,"TIA Education, Andrew Ramdayal",PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU,Get your PMP Certification with this course. Fully updated for the Current PMP Exam,4.7,124008,All Levels,364 lectures,35 total hours,Current price: $119.99
application development,https://www.udemy.com/course/project-management-mastery/,https://img-c.udemycdn.com/course/240x135/1918248_ad2f.jpg,Chris Croft,Project Management for Non Project Managers - PMP/PMI,Project Management practical guide for all industries,4.6,14699,All Levels,29 lectures,2.5 total hours,Current price: $109.99
application development,https://www.udemy.com/course/project-management-essentials-course/,https://img-c.udemycdn.com/course/240x135/1358224_f9b2_3.jpg,"William Stewart PhD, PMP, DPPM",Project Management Essentials,A crash course in the essentials of project management for new project managers.,4.5,23963,Beginner,40 lectures,2 total hours,Current price: $79.99
application development,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/,https://img-c.udemycdn.com/course/240x135/673654_d677_7.jpg,"Cole Mercer, Evan Kimbrell",Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",4.4,61026,All Levels,144 lectures,13 total hours,Current price: $119.99
application development,https://www.udemy.com/course/project-management-basics-for-non-project-managers/,https://img-c.udemycdn.com/course/240x135/5724764_1da6_3.jpg,Robert Hean,Project Management Basics for Non-Project Managers,Learn how Agile and Waterfall projects work | Includes ALL Phases of Projects | NO experience needed,4.6,791,All Levels,15 lectures,1.5 total hours,Current price: $59.99
application development,https://www.udemy.com/course/strategic-planning-project-management-personal-development/,https://img-c.udemycdn.com/course/240x135/5700090_bf86_2.jpg,LearnersCare LLC,"Strategic Planning, Project Management, Personal Development","Empower Your Career with Expertise in Strategic Planning, Project Planning, Project Management, and Personal Development",4.5,53,All Levels,144 lectures,20.5 total hours,Current price: $19.99
application development,https://www.udemy.com/course/hybrid-project-management/,https://img-c.udemycdn.com/course/240x135/3722014_e0c0.jpg,Janet Burns,Hybrid Project Management for Project Managers,Agile? Waterfall? Why not both? Learn the benefits of these approaches to develop your own recipe for project success.,4.5,2772,Intermediate,22 lectures,,Current price: $39.99
application development,https://www.udemy.com/course/project-management-professional-certification-program-pmp/,https://img-c.udemycdn.com/course/240x135/2890902_192a_31.jpg,Sorin Dumitrascu,Project Management Professional (PMP),60 PDU PMI PMP Certificate Exam Prep by PMBOK7 and PMBOK6,4.4,3268,Beginner,734 lectures,61 total hours,Current price: $119.99
application development,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431855,All Levels,374 lectures,61.5 total hours,Current price: $119.99
application development,https://www.udemy.com/course/beginning-project-management-project-management-level-one/,https://img-c.udemycdn.com/course/240x135/946742_7dc0_2.jpg,Joseph Phillips,Beginning Project Management: Project Management Level One,Project Management: Growing a Successful Career as a Project Manager,4.5,32236,Beginner,45 lectures,3 total hours,Current price: $99.99
application development,https://www.udemy.com/course/project-management-ai/,https://img-c.udemycdn.com/course/240x135/6204327_7fe0_4.jpg,"TIA Education, Andrew Ramdayal",Complete Project Manager's Practical Guide to Using AI 8 PDU,"Using GenAI to Boost Productivity, ChatGPT, Prompt Engineering From Amazon Bestselling PM Author",4.6,1396,Beginner,78 lectures,7 total hours,Current price: $79.99
application development,https://www.udemy.com/course/leadership-modern-leadership-skills-and-applications/,https://img-c.udemycdn.com/course/240x135/6408745_7a70.jpg,Levent Ertunalılar,Leadership : Modern Leadership Skills and Applications,"Leadership, Management Skills, Manager Training, Project Management, Manager Training, Emotional Intelligence, Business",4.7,419,All Levels,34 lectures,3 total hours,Current price: $44.99
application development,https://www.udemy.com/course/the-web-dev-bootcamp/,https://img-c.udemycdn.com/course/240x135/6375895_c850_2.jpg,Burak Orkmez,100 Hours Web Development Bootcamp - Build 23 React Projects,The only project based course you will ever need. Get access to all kinds React.js projects that you can think of.,4.8,172,All Levels,414 lectures,122 total hours,Current price: $54.99
application development,https://www.udemy.com/course/master-product-management-skills-by-building-a-product/,https://img-c.udemycdn.com/course/240x135/5138720_6fb7_4.jpg,"Anna Kolenkina, FutureVersity School .",Master Product Management by actually building a Product,The Most Practical course on Product Management. 15.5+ hours. Real-life project. AI productivity tips. With Certificate,4.6,1426,All Levels,143 lectures,15.5 total hours,Current price: $79.99
application development,https://www.udemy.com/course/new-project-manager-training/,https://img-c.udemycdn.com/course/240x135/468698_81e1_2.jpg,Srikanth Shirodkar,Project Management: Simple Software Project Management,"Project Management for NEW Project Managers - knowledge, tools, techniques, skills, checklists, guidelines, pitfalls",4.5,1561,All Levels,25 lectures,2 total hours,Current price: $54.99
application development,https://www.udemy.com/course/100-days-of-code/,https://img-c.udemycdn.com/course/240x135/2776760_f176_10.jpg,"Dr. Angela Yu, Developer and Lead Instructor",100 Days of Code: The Complete Python Pro Bootcamp,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,361653,All Levels,592 lectures,56.5 total hours,Current price: $119.99
