skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
cisco,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
cisco,https://www.udemy.com/course/a-project-management-course-becoming-a-project-manager/,https://img-c.udemycdn.com/course/240x135/6049011_94c0_2.jpg,Providence Essien,A project management course: Becoming a PROject Manager,The Complete Course you need to Becoming a Successful PROject Manager,4.7,200,All Levels,10 lectures,1.5 total hours,Current price: $19.99
cisco,https://www.udemy.com/course/project-management-with-gen-ai-a-guide-for-project-managers/,https://img-c.udemycdn.com/course/240x135/6488353_f0c1.jpg,AI MENTOR,Project Management with Gen AI: A Guide for Project Managers,"Learn Project Management with Generative AI to optimize workflows, automate tasks & drive Success in Project Management",4.5,90,All Levels,17 lectures,2 total hours,Current price: $44.99
cisco,https://www.udemy.com/course/ccna-complete/,https://img-c.udemycdn.com/course/240x135/1203374_6d6f_3.jpg,Neil Anderson,Cisco CCNA 200-301 – The Complete Guide to Getting Certified,"The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&A",4.8,75610,Beginner,326 lectures,42.5 total hours,Current price: $124.99
cisco,https://www.udemy.com/course/project-management-mastery/,https://img-c.udemycdn.com/course/240x135/1918248_ad2f.jpg,Chris Croft,Project Management for Non Project Managers - PMP/PMI,Project Management practical guide for all industries,4.6,14699,All Levels,29 lectures,2.5 total hours,Current price: $109.99
cisco,https://www.udemy.com/course/cisco-cucm-quickstart-guide-to-admin-services-phones-users/,https://img-c.udemycdn.com/course/240x135/4596656_bcd6_3.jpg,Dr Collaboration,Cisco CUCM Quickstart Guide To Admin Services Phones Users,Cisco Call Manager Guide For Cisco CCNP Collaboration CLCOR CCT CUCM Cisco Unified Communication Manager CLCOR CLACCM,4.6,468,All Levels,23 lectures,2 total hours,Current price: $69.99
cisco,https://www.udemy.com/course/microsoft-project-tutorial/,https://img-c.udemycdn.com/course/240x135/831116_92e7_2.jpg,Srikanth Shirodkar,Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 9 PDUs,4.6,21952,All Levels,139 lectures,10.5 total hours,Current price: $124.99
cisco,https://www.udemy.com/course/atlassian-confluence-training-project-management/,https://img-c.udemycdn.com/course/240x135/2573662_3be7_2.jpg,Andy Makar,Atlassian Confluence for Project Managers,Learn Confluence Project Management and how to manage projects and programs BETTER with Atlassian Confluence,4.5,4140,All Levels,38 lectures,3 total hours,Current price: $69.99
cisco,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
cisco,https://www.udemy.com/course/microsoft-project-for-civil-engineers-learn-2-live-projects/,https://img-c.udemycdn.com/course/240x135/5628573_a072_7.jpg,Akshay Kamath,Microsoft Project for Project Manager & Civil Engineers -MSP,[2024 ] Only Course With Live Project [23 Hours] on MS Project for Project Planning & Project Management from Zero,4.5,353,All Levels,75 lectures,23 total hours,Current price: $19.99
cisco,https://www.udemy.com/course/hybrid-project-management/,https://img-c.udemycdn.com/course/240x135/3722014_e0c0.jpg,Janet Burns,Hybrid Project Management for Project Managers,Agile? Waterfall? Why not both? Learn the benefits of these approaches to develop your own recipe for project success.,4.5,2772,Intermediate,22 lectures,,Current price: $39.99
cisco,https://www.udemy.com/course/abc-of-cisco-dnac-non-fabric-21x/,https://img-c.udemycdn.com/course/240x135/4004088_e654_7.jpg,Ratnesh K - CCIE x3 - Job Oriented Internetwork Course Content Creator,Cisco DNAC & SDA Zero to Hero - Training,Cisco DNAC Non-Fabric | Cisco SDA Fundamentals (SDAFND) v1.0 |  DNAC Automation | Future Updates,4.1,103,All Levels,96 lectures,15 total hours,Current price: $59.99
cisco,https://www.udemy.com/course/new-cisco-ise-3x-training-with-labs-8021x-mab-aaa-cisco-ise-v3x/,https://img-c.udemycdn.com/course/240x135/6362969_a75e.jpg,Zach Dyke,New Cisco ISE 3.X Training With Labs 802.1x MAB AAA ISE v3.x,New Cisco ISE 3.X Training With Labs Cisco Identity Services Engine v3.x Labs 802.1x MAB AAA ISE,4.8,32,All Levels,23 lectures,2 total hours,Current price: $69.99
cisco,https://www.udemy.com/course/the-project-management-smart-toolbox/,https://img-c.udemycdn.com/course/240x135/3788984_9686_4.jpg,Luciano Garagna,Stakeholder Management for Project Managers,"Effective tools for project start: stakeholder analysis and engagement, communication plan, project charter",4.4,1625,Intermediate,42 lectures,1.5 total hours,Current price: $49.99
cisco,https://www.udemy.com/course/the-ultimate-cisco-ccna-packet-tracer-project/,https://img-c.udemycdn.com/course/240x135/1236920_e692_3.jpg,"Bassam Alkaff • Remote Author @ INE • CCDP, CCNPx3, VCP",The Ultimate Cisco CCNA Packet Tracer Project,"Master your CCNA studies, knowledge, and practical skills using this full packet tracer project course.",5.0,178,Intermediate,57 lectures,3.5 total hours,Current price: $79.99
cisco,https://www.udemy.com/course/project-management-basics-for-non-project-managers/,https://img-c.udemycdn.com/course/240x135/5724764_1da6_3.jpg,Robert Hean,Project Management Basics for Non-Project Managers,Learn how Agile and Waterfall projects work | Includes ALL Phases of Projects | NO experience needed,4.6,791,All Levels,15 lectures,1.5 total hours,Current price: $59.99
cisco,https://www.udemy.com/course/hands-on-cisco-labs-master-course/,https://img-c.udemycdn.com/course/240x135/6165441_0e3d_2.jpg,Dan Mill,Hands on Cisco Labs: Master Course,Master Cisco Networking Concepts with Practical Real-World Labs Using Cisco Labs,5.0,17,Beginner,302 lectures,28 total hours,Current price: $89.99
cisco,https://www.udemy.com/course/project-management-complete-guide-for-a-project-managers/,https://img-c.udemycdn.com/course/240x135/4663650_39fa_9.jpg,"Peter Alkema, Regenesys Business School",Project Management - Complete Guide For A+ Project Managers,"Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing",4.4,793,All Levels,454 lectures,28 total hours,Current price: $74.99
cisco,https://www.udemy.com/course/ccna-jitl/,https://img-c.udemycdn.com/course/240x135/5419300_af6e_3.jpg,Jeremy McDowell,Master Cisco CCNA 200-301: Comprehensive All-in-One Course,"Ace the CCNA with hands-on lab exercises, flashcards, quizzes, practice exam questions, and more",4.8,1902,Beginner,129 lectures,50 total hours,Current price: $94.99
cisco,https://www.udemy.com/course/veyhurdam-cisco-cucm-training-how-to-install-configure-maintain-collab/,https://img-c.udemycdn.com/course/240x135/2591686_8183_2.jpg,Veyhurdam Dikmen,Cisco CUCM Training ( Install Configure Maintain ) CLCOR SIP,Cisco Unified Communications Manager Training Course For CCNA CCNP CCIE Collaboration Network Eng CUCM CLCOR CLTECH SIP,4.5,1036,All Levels,54 lectures,6 total hours,Current price: $74.99
