skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
data warehousing,https://www.udemy.com/course/data-warehousing-and-business-intelligence-for-managers/,https://img-c.udemycdn.com/course/240x135/693376_1f94_7.jpg,"Samori Augusto, The BI Crowd LLC",Data Warehousing and Business Intelligence for Managers,Manage Data Warehousing and Business Intelligence Developers and Projects,4.1,337.0,Beginner,52 lectures,3 total hours,Current price: $49.99
data warehousing,https://www.udemy.com/course/data-warehouse-the-ultimate-guide/,https://img-c.udemycdn.com/course/240x135/4626978_4f9c_4.jpg,Nikolai Schuler,Data Warehouse - The Ultimate Guide,"Master Data Warehousing, Dimensional Modeling & ETL process",4.6,8699.0,All Levels,102 lectures,9 total hours,Current price: $89.99
data warehousing,https://www.udemy.com/course/data-warehouse-fundamentals-for-beginners/,https://img-c.udemycdn.com/course/240x135/2752048_7ce2.jpg,Alan Simon,Data Warehouse Fundamentals for Beginners,Best Practices and Concepts for Architecture and Dimensional Design,4.5,28521.0,Beginner,68 lectures,5 total hours,Current price: $94.99
data warehousing,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379.0,All Levels,146 lectures,13 total hours,Current price: $94.99
data warehousing,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024.0,All Levels,109 lectures,8 total hours,Current price: $119.99
data warehousing,https://www.udemy.com/course/project-on-data-warehouse-etl-testing/,https://img-c.udemycdn.com/course/240x135/5198442_14e9.jpg,Blismos Academy,Project on Data Warehouse / ETL Testing,Data Warehouse/ ETL Testing,4.0,25.0,Intermediate,46 lectures,5.5 total hours,Current price: $59.99
data warehousing,https://www.udemy.com/course/master-datawarehouse-concepts-step-by-step-from-scratch/,https://img-c.udemycdn.com/course/240x135/692098_4196_2.jpg,Sid Inf,Data Warehouse Concepts: Basic to Advanced concepts,Data Warehouse Concepts:  Learn the in BI/Data Warehouse/BIG DATA Concepts from scratch and become an expert.,3.9,2845.0,All Levels,122 lectures,7 total hours,Current price: $69.99
data warehousing,https://www.udemy.com/course/design-a-data-warehouse-with-sql-server-and-adventureworksdb/,https://img-c.udemycdn.com/course/240x135/5431812_4375.jpg,Bluelime Learning Solutions,Design a Data Warehouse with SQL Server and AdventureWorksDB,Leveraging AdventureWorks2016: Building a Data Warehouse from Scratch,4.5,9.0,Beginner,30 lectures,1.5 total hours,Current price: $19.99
data warehousing,https://www.udemy.com/course/modeling-data-warehouse-with-data-vault-for-beginners/,https://img-c.udemycdn.com/course/240x135/3655144_5a8d_2.jpg,Esra Ekiz,Modeling Data Warehouse with Data Vault 2.0,Course covers the basics and fundamentals of Data Vault 2.0 along with Agile Methodology and Big Data,4.5,3694.0,Intermediate,47 lectures,6 total hours,Current price: $74.99
data warehousing,https://www.udemy.com/course/complete-aws-certified-data-engineer-end-to-end-project/,https://img-c.udemycdn.com/course/240x135/5630034_5e47_3.jpg,KTS Kloud Tech Studio,NEW Complete AWS Certified Data Engineer + Hands on Project,[2025] Build a complete and modern data engineering pipeline while preparing for the AWS Certified Data Engineer exam!,4.6,31.0,Intermediate,154 lectures,14 total hours,Current price: $74.99
