skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
docker,https://www.udemy.com/course/docker-tutorial/,https://img-c.udemycdn.com/course/240x135/2469322_66a1_5.jpg,Jason Cannon,Docker: A Project-Based Approach to Learning,Learn how to manage Docker hosts and Docker containers through project-based training.,4.5,2659,All Levels,35 lectures,4.5 total hours,Current price: $79.99
docker,https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,https://img-c.udemycdn.com/course/240x135/3490000_d298_2.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Docker & Kubernetes: The Practical Guide [2025 Edition],"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!",4.7,32379,All Levels,264 lectures,23.5 total hours,Current price: $149.99
docker,https://www.udemy.com/course/docker-mastery/,https://img-c.udemycdn.com/course/240x135/1035000_c1aa_8.jpg,"Bret Fisher, Docker Captain Program",Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOps",4.6,64655,All Levels,225 lectures,23 total hours,Current price: $109.99
docker,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/1793828_7999_2.jpg,Stephen Grider,Docker and Kubernetes: The Complete Guide,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",4.7,60329,All Levels,316 lectures,22 total hours,Current price: $124.99
docker,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
docker,https://www.udemy.com/course/docker-deployment/,https://img-c.udemycdn.com/course/240x135/5884390_5ed7.jpg,"Jannis Seemann, Andreas Kansy","Docker, Kubernetes & AWS: Real-World Deployment in 25 Days","Build and deploy applications from scratch with Docker, Kubernetes & AWS. The step-by-step guide from Beginner to Pro.",4.7,227,Beginner,332 lectures,32 total hours,Current price: $89.99
docker,https://www.udemy.com/course/docker-and-docker-compose-project-deployment-from-scratch/,https://img-c.udemycdn.com/course/240x135/3156206_12a0_4.jpg,Oleksandr Kocherhin,Project in Docker | Docker Basics - Microservices,[Docker Endorsed] Learn microservices and Docker Basics and build project in Docker with Docker Compose,4.6,218,All Levels,31 lectures,4.5 total hours,Current price: $49.99
docker,https://www.udemy.com/course/docker-mastery-for-nodejs/,https://img-c.udemycdn.com/course/240x135/1927496_db13_3.jpg,"Bret Fisher, Docker Captain Program",Docker for Node.js Projects From a Docker Captain,"Build advanced Node images for use in dev, test, and prod with the latest DevOps practices from a container expert",4.6,1492,Intermediate,84 lectures,8.5 total hours,Current price: $84.99
docker,https://www.udemy.com/course/docker-in-a-weekend-40-practical-demos-for-devops-learners/,https://img-c.udemycdn.com/course/240x135/6266585_9f1e_9.jpg,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms",Docker in a Weekend: 40 Practical Demos for DevOps Learners,"Master Dockerfiles, Docker Build, Docker Compose, Multi-Container Apps, and Multi-Stage Builds with 40 Practical Demos",4.7,197,All Levels,90 lectures,10 total hours,Current price: $84.99
docker,https://www.udemy.com/course/hands-on-with-docker-and-docker-compose/,https://img-c.udemycdn.com/course/240x135/1359020_5426.jpg,"Nick Janetakis, Docker Captain Program",Hands on With Docker & Docker Compose From a Docker Captain,"v19.03. Everything you need to build, run and compose Docker containers so you can start using Docker for your web apps.",4.6,793,Beginner,51 lectures,5 total hours,Current price: $54.99
