skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
erp,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
erp,https://www.udemy.com/course/project-management-how-to-run-an-erp-project-part22/,https://img-c.udemycdn.com/course/240x135/4979648_8489.jpg,"Jamal Moustafaev, BBA, MBA, PMP",Project Management - How to run an ERP project Part:2/2,Leading Enterprise Resource Planning (ERP) projects,4.2,28,Intermediate,8 lectures,,Current price: $19.99
erp,https://www.udemy.com/course/project-management-how-to-run-an-erp-project-part12/,https://img-c.udemycdn.com/course/240x135/4979646_13be.jpg,"Jamal Moustafaev, BBA, MBA, PMP",Project Management - How to run an ERP project Part:1/2,Leading Enterprise Resource Planning (ERP) projects,4.2,41,Intermediate,6 lectures,1.5 total hours,Current price: $24.99
erp,https://www.udemy.com/course/a-project-management-course-becoming-a-project-manager/,https://img-c.udemycdn.com/course/240x135/6049011_94c0_2.jpg,Providence Essien,A project management course: Becoming a PROject Manager,The Complete Course you need to Becoming a Successful PROject Manager,4.7,200,All Levels,10 lectures,1.5 total hours,Current price: $19.99
erp,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
erp,https://www.udemy.com/course/project-management-with-gen-ai-a-guide-for-project-managers/,https://img-c.udemycdn.com/course/240x135/6488353_f0c1.jpg,AI MENTOR,Project Management with Gen AI: A Guide for Project Managers,"Learn Project Management with Generative AI to optimize workflows, automate tasks & drive Success in Project Management",4.5,90,All Levels,17 lectures,2 total hours,Current price: $44.99
erp,https://www.udemy.com/course/project-management-skills-for-successful-project-managers/,https://img-c.udemycdn.com/course/240x135/6222223_e2aa.jpg,Fahad Virk,Project Management Skills for Successful Project Managers,"Learn to Analyze, Plan & Execute Projects to Achieve Company Objectives & Master Project Management Skills for Managers.",4.4,4,All Levels,15 lectures,1.5 total hours,Current price: $44.99
erp,https://www.udemy.com/course/microsoft-project-for-civil-engineers-learn-2-live-projects/,https://img-c.udemycdn.com/course/240x135/5628573_a072_7.jpg,Akshay Kamath,Microsoft Project for Project Manager & Civil Engineers -MSP,[2024 ] Only Course With Live Project [23 Hours] on MS Project for Project Planning & Project Management from Zero,4.5,353,All Levels,75 lectures,23 total hours,Current price: $19.99
erp,https://www.udemy.com/course/managing-enterprise-resource-planning-erp-implementation/,https://img-c.udemycdn.com/course/240x135/2157076_163d_3.jpg,"Guha Rajan M., B.Engg, MBA",Managing Enterprise Resource Planning (ERP) Implementation,"Learn about On-premise and SaaS- ERP,  understand business flows. Become expert in project management methodology in ERP",3.8,359,Beginner,36 lectures,4.5 total hours,Current price: $54.99
erp,https://www.udemy.com/course/project-management-mastery/,https://img-c.udemycdn.com/course/240x135/1918248_ad2f.jpg,Chris Croft,Project Management for Non Project Managers - PMP/PMI,Project Management practical guide for all industries,4.6,14699,All Levels,29 lectures,2.5 total hours,Current price: $109.99
erp,https://www.udemy.com/course/project-management-ready-becoming-a-project-manager-in-2024/,https://img-c.udemycdn.com/course/240x135/5698496_d3b8_2.jpg,Ivy Lewis,Project Management Ready - Becoming a Project Manager,Step by step actionable guide to transform your skills and experiences to become a project manager,4.8,13,Beginner,31 lectures,5.5 total hours,Current price: $19.99
erp,https://www.udemy.com/course/successful-erp-projects-here-are-basics-you-need-to-know/,https://img-c.udemycdn.com/course/240x135/4477716_40a1_3.jpg,Melanie Missbach,Successful ERP Projects: Here are Basics You Need to Know,1st part of the series Milestones of an ERP system implementation,3.9,18,Beginner,13 lectures,1.5 total hours,Current price: $39.99
