skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
jira,https://www.udemy.com/course/introduction-to-jira/,https://img-c.udemycdn.com/course/240x135/770336_d591_4.jpg,Dan LeFebvre,"Understanding Jira for users, managers and admins",Everything you need to know to get started with Atlassian's powerful agile project management and issue tracker tool.,4.6,25155,All Levels,68 lectures,7 total hours,
jira,https://www.udemy.com/course/jira-confluence-masterclass-2025-for-users-projects/,https://img-c.udemycdn.com/course/240x135/6203609_c5c7.jpg,"Niels Rabe | Agile Coach, Project manager, Scrum Master",Jira & Confluence Masterclass 2025 for Projects & Teams,"Manage Agile, Scrum, Kanban and more Teams and Projects by Mastering Jira and Confluence in 2025. Learn Jira today!",4.5,48,Beginner,114 lectures,10.5 total hours,
jira,https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,https://img-c.udemycdn.com/course/240x135/1120038_2d02_6.jpg,Kosh Sarkar (Atlassian Certified Trainer),Learn Jira with real-world examples 2024 (+Confluence bonus),"Updated 2024! Learn to work on, manage, administer agile projects with this comprehensive course on JIRA and Confluence",4.6,39808,All Levels,82 lectures,10.5 total hours,Current price: $109.99
jira,https://www.udemy.com/course/jira-7-for-developer-administrator-project-managers/,https://img-c.udemycdn.com/course/240x135/2025178_dc2a_2.jpg,Packt Publishing,"Jira 7: For Developer, Administrator & Project Managers",Get hands-on practice on Jira customization and issue tracking implementation for your organization,4.5,228,Beginner,53 lectures,6.5 total hours,Current price: $44.99
jira,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
jira,https://www.udemy.com/course/mastering-jira/,https://img-c.udemycdn.com/course/240x135/5445308_ee2d_3.jpg,Deepak Rai,Jira For Scrum Master and Project Manager,Jira Beginners guide,4.4,77,All Levels,14 lectures,3.5 total hours,
jira,https://www.udemy.com/course/practical-jira-workflows-and-boards-for-scrum-projects/,https://img-c.udemycdn.com/course/240x135/4295460_c76d_4.jpg,Vlajko Knezic,Practical JIRA Workflows and Boards for Scrum Projects,"Scrum masters, product managers and project managers hands-on guide to boards and workflows in JIRA Scrum projects",4.6,120,Intermediate,32 lectures,3.5 total hours,Current price: $54.99
jira,https://www.udemy.com/course/jira-and-confluence-masterclass-for-users-managersadmins/,https://img-c.udemycdn.com/course/240x135/4595050_c3a1_3.jpg,Patrick Fagan,Jira and Confluence for Users/Managers/Administrators,A Beginner Course on Jira and Confluence for Software Development - 10 users Free- Scrum and Agile Project Management,4.6,154,All Levels,69 lectures,7 total hours,
jira,https://www.udemy.com/course/the-complete-jira-agile-project-management-course/,https://img-c.udemycdn.com/course/240x135/1839552_d891_5.jpg,Danny Liu,The Complete JIRA Agile Project Management Course,Learn how to quickly manage Scrum and Kanban Agile projects using JIRA Software Cloud and more!,4.5,2956,Beginner,48 lectures,2 total hours,Current price: $49.99
jira,https://www.udemy.com/course/agile-project-planning-with-jira-portfolio/,https://img-c.udemycdn.com/course/240x135/1693168_a4a9_2.jpg,Kosh Sarkar (Atlassian Certified Trainer),Project Planning with Advanced Roadmaps for Jira,Learn JIRA’s project planning and agile road-mapping tool with a real-world project,4.4,5368,Intermediate,34 lectures,4 total hours,Current price: $79.99
jira,https://www.udemy.com/course/learning-jira-and-agile-project-management-101-for-beginners/,https://img-c.udemycdn.com/course/240x135/1505598_58bc_3.jpg,Patrick Fagan,Jira Agile Project Management for Beginners-Bonus Confluence,Including Confluence Features-Databases/Whiteboard - Learn Jira Agile Project Management - Scrum/Kanban,4.6,1501,Beginner,85 lectures,8 total hours,Current price: $79.99
