skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
market analysis,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
market analysis,https://www.udemy.com/course/stock-market-trading-investing-complete-technical-analysis-course/,https://img-c.udemycdn.com/course/240x135/3774922_9454.jpg,"Steve Ballinger, MBA",Stock Market Trading: The Complete Technical Analysis Course,"Stock Market Technical Analysis, Day Trading, PT Technical Analysis Trading, Candlestick, Options, Swing Trading, Chart",4.5,4350,All Levels,118 lectures,12.5 total hours,Current price: $99.99
market analysis,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
market analysis,https://www.udemy.com/course/project-management-complete-guide-for-a-project-managers/,https://img-c.udemycdn.com/course/240x135/4663650_39fa_9.jpg,"Peter Alkema, Regenesys Business School",Project Management - Complete Guide For A+ Project Managers,"Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing",4.4,793,All Levels,454 lectures,28 total hours,Current price: $74.99
market analysis,https://www.udemy.com/course/market-research-bootcamp/,https://img-c.udemycdn.com/course/240x135/5318140_b847_5.jpg,Stephen Tracy,The Complete Market Research Bootcamp,"Don’t just learn, but MASTER core research methodologies, and learn how to leverage AI to supercharge how you work!",4.6,462,All Levels,53 lectures,11 total hours,Current price: $84.99
market analysis,https://www.udemy.com/course/market-stalkers-basics-of-market-profile-trading/,https://img-c.udemycdn.com/course/240x135/2193886_9fcf.jpg,Market Stalkers,Mastering Market Profile Trading: Professional Analysis Tool,No nonsense crash course in Market Profile: The most commonly used analysis tool of professional daytraders,4.4,640,Intermediate,14 lectures,2 total hours,Current price: $44.99
market analysis,https://www.udemy.com/course/management-consulting-project-d/,https://img-c.udemycdn.com/course/240x135/1258358_b5a6.jpg,Asen Gyczew,Practical Project Management for Management Consultants,How to manage successfully a consulting project  - a practical guide for Project Managers,4.4,1204,Intermediate,72 lectures,3.5 total hours,Current price: $59.99
market analysis,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/,https://img-c.udemycdn.com/course/240x135/673654_d677_7.jpg,"Cole Mercer, Evan Kimbrell",Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",4.4,61026,All Levels,144 lectures,13 total hours,Current price: $119.99
market analysis,https://www.udemy.com/course/technical_analysis/,https://img-c.udemycdn.com/course/240x135/1255136_1bf6_15.jpg,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis",Technical Analysis MasterClass:Trading By Technical Analysis,"Stock Market Technical Analysis Secrets for Forex , Stock Trading , Options , Swing Trading & Day Trading + ASSIGNMENTS",4.3,24406,All Levels,90 lectures,8 total hours,Current price: $119.99
market analysis,https://www.udemy.com/course/market-structure-in-trading-from-zero-to-hero-18-hours/,https://img-c.udemycdn.com/course/240x135/6319911_a1b1_2.jpg,Jayce PHAM | Funded Trading Group | NCI Market structure trading,Market Structure in Trading From Zero to Hero (18+ Hours),"Level 0: The Complete Guide to understand Market Structure for Effective Trading, Investing",4.8,427,All Levels,79 lectures,18 total hours,Current price: $89.99
market analysis,https://www.udemy.com/course/the-complete-financial-analyst-course/,https://img-c.udemycdn.com/course/240x135/648826_f0e5_4.jpg,365 Careers,The Complete Financial Analyst Course 2025,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",4.6,94291,All Levels,381 lectures,22.5 total hours,Current price: $199.99
market analysis,https://www.udemy.com/course/mastering-technical-analysis-chart-patterns/,https://img-c.udemycdn.com/course/240x135/2966930_2e81_4.jpg,Pep Robi,Mastering Technical Analysis: Start Trading Better Today,Technical Analysis Trading Profitable Chart Patterns. Technical Analysis Simplified Trading Forex & The Stock Market,4.7,182,All Levels,72 lectures,6.5 total hours,Current price: $74.99
market analysis,https://www.udemy.com/course/technical-analysis-master-chart-patterns-and-trends-part-1/,https://img-c.udemycdn.com/course/240x135/6331407_4429.jpg,Marco Lippiello,Technical Analysis & Trading: Master Markets Step-by-Step,Fundamental Principles of Technical Analysis in Financial Markets.,5.0,99,All Levels,55 lectures,12 total hours,Current price: $44.99
market analysis,https://www.udemy.com/course/business-analysis-conduct-a-strategy-analysis/,https://img-c.udemycdn.com/course/240x135/1596446_a765_9.jpg,The BA Guide | Jeremy Aschenbrenner,Conduct a Strategy Analysis using Business Analysis,Use business analysis techniques to create and recommend the best strategies and solutions! - ECBA/CCBA/CBAP endorsed,4.6,7196,All Levels,124 lectures,8 total hours,Current price: $99.99
