skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
node,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
node,https://www.udemy.com/course/nodejs-tutorial-and-projects-course/,https://img-c.udemycdn.com/course/240x135/3830262_2c3b_3.jpg,John Smilga,NodeJS Tutorial and Projects Course,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB.",4.7,3915,All Levels,371 lectures,34.5 total hours,Current price: $84.99
node,https://www.udemy.com/course/project-management-with-gen-ai-a-guide-for-project-managers/,https://img-c.udemycdn.com/course/240x135/6488353_f0c1.jpg,AI MENTOR,Project Management with Gen AI: A Guide for Project Managers,"Learn Project Management with Generative AI to optimize workflows, automate tasks & drive Success in Project Management",4.5,90,All Levels,17 lectures,2 total hours,Current price: $44.99
node,https://www.udemy.com/course/a-project-management-course-becoming-a-project-manager/,https://img-c.udemycdn.com/course/240x135/6049011_94c0_2.jpg,Providence Essien,A project management course: Becoming a PROject Manager,The Complete Course you need to Becoming a Successful PROject Manager,4.7,200,All Levels,10 lectures,1.5 total hours,Current price: $19.99
node,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
node,https://www.udemy.com/course/understanding-npm/,https://img-c.udemycdn.com/course/240x135/1869566_f54d_8.jpg,"Bogdan Stashchuk | 300K Students Worldwide | MBA, PhD",Understanding NPM - Node.js Package Manager,"Understand and practice NPM. Learn how to use NPM in Node.js, how to install NPM packages, how to configure NPM scripts.",4.5,1615,All Levels,41 lectures,2.5 total hours,Current price: $79.99
node,https://www.udemy.com/course/project-management-complete-guide-for-a-project-managers/,https://img-c.udemycdn.com/course/240x135/4663650_39fa_9.jpg,"Peter Alkema, Regenesys Business School",Project Management - Complete Guide For A+ Project Managers,"Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing",4.4,793,All Levels,454 lectures,28 total hours,Current price: $74.99
node,https://www.udemy.com/course/expressjs-learn-node-node-js-express-js-master-nodejs/,https://img-c.udemycdn.com/course/240x135/5399782_d3a9_2.jpg,"Evergreen Programming, Robyn Suchy",EXPRESS.JS: Learn Node! Node js & Express js - Master Nodejs,Master Nodejs with Node + Express.js: Become a Node js Expert using Express js + Node. Develop with Nodejs + Express js!,4.7,35,All Levels,125 lectures,11 total hours,Current price: $79.99
node,https://www.udemy.com/course/nodejs-api-complete-guide-by-building-blog-application-api/,https://img-c.udemycdn.com/course/240x135/4980426_ee5d_4.jpg,"Masynctech Coding School, Pretty Akyeremu, Aditya Mandal",Nodejs API Project: Build a Blog Project API,"Master Node JS by building a real-world RESTful API  (Blog API) with authentication, deployment API Documentation...",4.7,57,All Levels,110 lectures,10.5 total hours,Current price: $74.99
node,https://www.udemy.com/course/project-management-mastery/,https://img-c.udemycdn.com/course/240x135/1918248_ad2f.jpg,Chris Croft,Project Management for Non Project Managers - PMP/PMI,Project Management practical guide for all industries,4.6,14699,All Levels,29 lectures,2.5 total hours,Current price: $109.99
node,https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,https://img-c.udemycdn.com/course/240x135/1672410_9ff1_5.jpg,Jonas Schmedtmann,"Node.js, Express, MongoDB & More: The Complete Bootcamp","Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",4.6,27203,All Levels,229 lectures,42 total hours,Current price: $139.99
node,https://www.udemy.com/course/nodejs-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/1879018_95b6_3.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",4.6,51540,All Levels,544 lectures,40.5 total hours,Current price: $149.99
node,https://www.udemy.com/course/hybrid-project-management/,https://img-c.udemycdn.com/course/240x135/3722014_e0c0.jpg,Janet Burns,Hybrid Project Management for Project Managers,Agile? Waterfall? Why not both? Learn the benefits of these approaches to develop your own recipe for project success.,4.5,2772,Intermediate,22 lectures,,Current price: $39.99
node,https://www.udemy.com/course/project-management-basics-for-non-project-managers/,https://img-c.udemycdn.com/course/240x135/5724764_1da6_3.jpg,Robert Hean,Project Management Basics for Non-Project Managers,Learn how Agile and Waterfall projects work | Includes ALL Phases of Projects | NO experience needed,4.6,791,All Levels,15 lectures,1.5 total hours,Current price: $59.99
node,https://www.udemy.com/course/docker-mastery-for-nodejs/,https://img-c.udemycdn.com/course/240x135/1927496_db13_3.jpg,"Bret Fisher, Docker Captain Program",Docker for Node.js Projects From a Docker Captain,"Build advanced Node images for use in dev, test, and prod with the latest DevOps practices from a container expert",4.6,1492,Intermediate,84 lectures,8.5 total hours,Current price: $84.99
node,https://www.udemy.com/course/atlassian-confluence-training-project-management/,https://img-c.udemycdn.com/course/240x135/2573662_3be7_2.jpg,Andy Makar,Atlassian Confluence for Project Managers,Learn Confluence Project Management and how to manage projects and programs BETTER with Atlassian Confluence,4.5,4140,All Levels,38 lectures,3 total hours,Current price: $69.99
node,https://www.udemy.com/course/the-complete-nodejs-express-with-nodejs-for-beginners/,https://img-c.udemycdn.com/course/240x135/4060616_82d3_4.jpg,"Oak Academy, OAK Academy Team",NodeJS complete course | Node JS & Express JS for Beginners,NodeJS and React are javascript languages. Node.js is way to get into Full Stack web development. Node JS and Express JS,4.5,142,All Levels,40 lectures,4.5 total hours,Current price: $64.99
node,https://www.udemy.com/course/complete-nodejs-developer-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/3616978_b3f2_4.jpg,"Andrei Neagoie, Adam Odziemkowski","Complete NodeJS Developer (GraphQL, MongoDB, + more)","Learn from real NodeJS experts! Includes REALLY Advanced NodeJS. Express, GraphQL, REST, MongoDB, SQL, MERN + much more",4.5,5284,All Levels,432 lectures,46.5 total hours,Current price: $94.99
node,https://www.udemy.com/course/the-project-management-smart-toolbox/,https://img-c.udemycdn.com/course/240x135/3788984_9686_4.jpg,Luciano Garagna,Stakeholder Management for Project Managers,"Effective tools for project start: stakeholder analysis and engagement, communication plan, project charter",4.4,1625,Intermediate,42 lectures,1.5 total hours,Current price: $49.99
node,https://www.udemy.com/course/microsoft-project-for-civil-engineers-learn-2-live-projects/,https://img-c.udemycdn.com/course/240x135/5628573_a072_7.jpg,Akshay Kamath,Microsoft Project for Project Manager & Civil Engineers -MSP,[2024 ] Only Course With Live Project [23 Hours] on MS Project for Project Planning & Project Management from Zero,4.5,353,All Levels,75 lectures,23 total hours,Current price: $19.99
