skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
angular,https://www.udemy.com/course/production-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/3531340_3cd0_2.jpg,Nidhi Singh,Production Support - Site Reliability Engineer,Job of SRE in DevOps,4.5,2087,Beginner,95 lectures,7 total hours,Current price: $59.99
angular,https://www.udemy.com/course/sre-fundamentals-mastering-site-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/5481794_d3c4_2.jpg,Douglas Mugnos,SRE Fundamentals: Mastering Site Reliability Engineering,Empower Your Team: Embrace SRE Fundamentals for Unparalleled Reliability and Efficiency,4.4,2058,All Levels,35 lectures,4 total hours,Current price: $19.99
angular,https://www.udemy.com/course/angular-testing-course/,https://img-c.udemycdn.com/course/240x135/2308032_fcc7.jpg,Angular University,Angular Testing Masterclass (Angular 19),"A complete guide to Angular 19 Unit Testing and End to End (E2E) Testing, including Testing best practices and CI",4.5,6045,All Levels,46 lectures,5 total hours,Current price: $79.99
angular,https://www.udemy.com/course/from-zero-to-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/5901296_0671.jpg,Philip Afable,From Zero to Site Reliability Engineer,Learn About the SRE Workflow,4.2,20,Intermediate,24 lectures,3 total hours,Current price: $69.99
angular,https://www.udemy.com/course/site-reliability-engineer-sre-150-unique-interview-questions/,https://img-c.udemycdn.com/course/240x135/5366082_0865.jpg,Mustafa Erdinç ZORBA,150 Unique Site Reliability Engineer SRE Interview Questions,Master SRE Concepts: Real-World Scenarios In-Depth Interview Preparation Guide with Answers and Explanations!,4.2,28,All Levels,150 questions,,Current price: $69.99
angular,https://www.udemy.com/course/angular-course/,https://img-c.udemycdn.com/course/240x135/1885262_b576_3.jpg,Angular University,Angular Deep Dive - Beginner to Advanced (Angular 19),"Updated To Angular 19 (Angular Signals, defer, @if @for):  Advanced Features of the Angular Core and Common modules",4.5,9617,All Levels,113 lectures,12 total hours,Current price: $74.99
angular,https://www.udemy.com/course/angular-material-course/,https://img-c.udemycdn.com/course/240x135/1442960_e7f1_2.jpg,Angular University,Angular Material In Depth (Angular 19),In-depth guided tour to the Angular Material component library (in Angular 19),4.6,2527,All Levels,44 lectures,6.5 total hours,Current price: $79.99
angular,https://www.udemy.com/course/the-complete-guide-to-angular-2/,https://img-c.udemycdn.com/course/240x135/756150_c033_4.jpg,Maximilian Schwarzmüller,Angular - The Complete Guide (2025 Edition),"Master Angular (formerly Angular 2) and build awesome, reactive web apps with the successor of Angular.js",4.7,213691,All Levels,757 lectures,56 total hours,Current price: $119.99
angular,https://www.udemy.com/course/angular-signals/,https://img-c.udemycdn.com/course/240x135/5908490_a16b_2.jpg,Angular University,Angular Signals In Depth (Angular 19),Learn how to build modern Angular 19 applications with the new Signals API. Learn common signal-based UI patterns.,4.6,790,All Levels,69 lectures,7 total hours,Current price: $84.99
angular,https://www.udemy.com/course/ngrx-course/,https://img-c.udemycdn.com/course/240x135/1673770_fda4_3.jpg,Angular University,NgRx (with NgRx Data) - The Complete Guide (Angular 19),"Learn the modern NgRx Ecosystem, including NgRx Data, Store, Effects, Router Store, NgRx Entity, and DevTools",4.2,7018,All Levels,51 lectures,6.5 total hours,Current price: $79.99
