skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
akka,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
akka,https://www.udemy.com/course/akka-essentials/,https://img-c.udemycdn.com/course/240x135/2008080_c3ce.jpg,Daniel Ciocîrlan,Akka Classic Essentials with Scala,"Learn the classic Akka actor model with Scala and write parallel, concurrent and fault-tolerant systems",4.7,2068,,Expert,13 total hours,Current price: $39.99
akka,https://www.udemy.com/course/practical-java-concurrency-with-the-akka-actor-model/,https://img-c.udemycdn.com/course/240x135/2789474_f017_3.jpg,"Matt Greencroft, Virtual Pair Programmers",Practical Java concurrency with the Akka Actor Model,"Learn how to avoid thread-safety issues, synchronization and blocking with a really practical hands-on course",4.6,737,Intermediate,54 lectures,7 total hours,Current price: $69.99
akka,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,https://img-c.udemycdn.com/course/240x135/3997622_0670_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",4.7,11311,All Levels,45 lectures,7 total hours,Current price: $109.99
akka,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
akka,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12113,All Levels,102 lectures,8.5 total hours,Current price: $109.99
akka,https://www.udemy.com/course/practical-akka-http-and-microservices/,https://img-c.udemycdn.com/course/240x135/3942050_8f59_2.jpg,"Matt Greencroft, Virtual Pair Programmers",Practical Akka Http and Microservices,Learn how to connect Akka systems to the outside world - a really practical hands-on course,4.7,52,,Expert,10.5 total hours,Current price: $79.99
akka,https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,https://img-c.udemycdn.com/course/240x135/2304734_767b.jpg,Memi Lavi,The Complete Guide to Becoming a Software Architect,"The most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.",4.6,16080,Beginner,117 lectures,6 total hours,Current price: $159.99
akka,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",4.6,2803,All Levels,367 lectures,24.5 total hours,Current price: $89.99
akka,https://www.udemy.com/course/software-engineer-interview-unleashed/,https://img-c.udemycdn.com/course/240x135/960796_025f_4.jpg,Jeff Bae,Software Engineer Interview Unleashed,Learn how to make yourself ready for software engineer interviews from a former Google interviewer.,4.2,1206,All Levels,41 lectures,7 total hours,Current price: $69.99
