skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
azure,https://www.udemy.com/course/microsoft-azure-ai-services/,https://img-c.udemycdn.com/course/240x135/2310570_b5c2.jpg,"Ankit Mistry : 150,000+ Students, Ajay Gadhave",AI-102 : Microsoft Azure AI Engineer Associate Exam Guide,"Azure AI Solutions with Azure AI Search, OpenAI, AI Vision, NLP, Document Intelligence, Azure AI Foundry (Studio)",4.6,173,All Levels,112 lectures,14.5 total hours,Current price: $99.99
azure,https://www.udemy.com/course/azure-data-engineering-end-to-end-course-english/,https://img-c.udemycdn.com/course/240x135/6369509_d8f8_2.jpg,Yusuf Didighar,Azure Data Engineering End-to-end Course (English),"Learn multiple tools in Azure data engineering stack through this course, all in one bundle!",4.8,54,All Levels,426 lectures,66.5 total hours,Current price: $44.99
azure,https://www.udemy.com/course/azure-data-engineering/,https://img-c.udemycdn.com/course/240x135/5453978_d8d8_3.jpg,"Ankit Mistry : 150,000+ Students, Vijay Gadhave, Ajay Gadhave",DP-203: Microsoft Certified Azure Data Engineer Associate,Azure Data Engineer Associate | Microsoft Fabric | DP-700 | Microsoft Certified: Fabric Data Engineer Associate,4.5,948,All Levels,327 lectures,40.5 total hours,Current price: $79.99
azure,https://www.udemy.com/course/azure-solutions-architect-certification-the-ultimate-bundle/,https://img-c.udemycdn.com/course/240x135/5968986_98b9_2.jpg,Memi Lavi,Azure Solutions Architect Certification: The Ultimate Bundle,Become a certified Azure Architect! Learn to design and build modern cloud apps from a certified Azure Architect,4.6,332,Beginner,392 lectures,28 total hours,Current price: $19.99
azure,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379,All Levels,146 lectures,13 total hours,Current price: $94.99
azure,https://www.udemy.com/course/az900-azure/,https://img-c.udemycdn.com/course/240x135/2394982_eaac_8.jpg,"Scott Duffy  • 1.000.000+ Students, Software Architect.ca",AZ-900: Microsoft Azure Fundamentals Exam Prep - SEP 2024,"Learn the fundamentals of Azure, and get Azure certified, with this complete AZ-900 course, includes practice test!",4.6,123006,Beginner,84 lectures,8 total hours,Current price: $119.99
azure,https://www.udemy.com/course/microsoft-azure-from-zero-to-hero-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/3651110_df59.jpg,Memi Lavi,Microsoft Azure: From Zero to Hero - The Complete Guide,Become an Azure Expert! Learn to design and build modern cloud apps from a certified Azure Architect,4.6,19205,Beginner,286 lectures,21 total hours,Current price: $99.99
azure,https://www.udemy.com/course/microsoft-azure-database-and-analytics/,https://img-c.udemycdn.com/course/240x135/2537858_ccee_6.jpg,"Eshant Garg | | LearnCloud.Info | 100,000+ Enrollments",Azure Data Engineer Technologies for Beginners [Bundle],"Microsoft Azure SQL Database, Data Lake, Data Factory, Synapse Analytics, Cosmos DB, Databricks, HDInsight, storage",4.4,6616,Beginner,318 lectures,33.5 total hours,Current price: $119.99
azure,https://www.udemy.com/course/azure-synapse-analytics-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/4709442_d85f_2.jpg,Ramesh Retnasamy,Azure Synapse Analytics For Data Engineers -Hands On Project,"Hands on Project for Data Engineers using all the services available in Azure Synapse Analytics [DP-203, DP-500]",4.6,3584,All Levels,132 lectures,13.5 total hours,Current price: $84.99
azure,https://www.udemy.com/course/70532-azure/,https://img-c.udemycdn.com/course/240x135/802574_71aa_11.jpg,"Scott Duffy  • 1.000.000+ Students, Software Architect.ca",AZ-204 Developing Solutions for Microsoft Azure - JAN 2025,The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.,4.4,31092,Intermediate,102 lectures,8.5 total hours,Current price: $119.99
