skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
configuration management,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
configuration management,https://www.udemy.com/course/it-asset-management-itam-software-asset-management/,https://img-c.udemycdn.com/course/240x135/4535372_f073_5.jpg,Magine Solutions Team,IT Asset Management (ITAM)— Software Asset Management,Learn IT Asset Management (ITAM) — Software Asset Management From Basics To Advanced,4.4,2301,All Levels,46 lectures,4.5 total hours,Current price: $59.99
configuration management,https://www.udemy.com/course/the-art-of-project-management-for-software-it-engineers/,https://img-c.udemycdn.com/course/240x135/1807102_946e_2.jpg,"TetraNoodle Team, Manuj Aggarwal",Project Planning & Management For Software & IT Engineers,Move into leadership and management roles. Manage and plan software and IT projects effectively. Soft-skills series.,4.1,135,All Levels,67 lectures,4 total hours,Current price: $44.99
configuration management,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,https://img-c.udemycdn.com/course/240x135/3997622_0670_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",4.7,11311,All Levels,45 lectures,7 total hours,Current price: $109.99
configuration management,https://www.udemy.com/course/system-center-configuration-manager/,https://img-c.udemycdn.com/course/240x135/1194706_10f5_3.jpg,"Paul Hill, Robert Hill",Microsoft SCCM/Endpoint Configuration Manager for Beginners,"The fluff-free SCCM course that shows you how to install and administrate SCCM within your network, screen-by-screen",4.6,10837,All Levels,107 lectures,9.5 total hours,Current price: $129.99
configuration management,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12113,All Levels,102 lectures,8.5 total hours,Current price: $109.99
configuration management,https://www.udemy.com/course/sccm-training/,https://img-c.udemycdn.com/course/240x135/2336932_d7bf_3.jpg,Pavan Kumar,Mastering Microsoft Configuration Manager (SCCM) Training,"The Ultimate Training on Microsoft Intune Family Products - Configuration Manager (SCCM), Endpoint Analytics, Autopilot",4.5,1716,All Levels,306 lectures,72.5 total hours,Current price: $79.99
configuration management,https://www.udemy.com/course/cmdb-asset-management-essentials-with-jira-assets/,https://img-c.udemycdn.com/course/240x135/6164203_cd0b_4.jpg,Antreas Solou,JIRA Asset Management Essentials and CMDB Configuration 2025,"CMDB, Asset Management, Deviniti Plugins, JSM and Jira Integration:Configure, Track, and Automate IT Assets Efficiently.",4.6,14,Beginner,13 lectures,1.5 total hours,Current price: $64.99
configuration management,https://www.udemy.com/course/configuration-management-monitoring-security-in-devops/,https://img-c.udemycdn.com/course/240x135/2097184_e598_2.jpg,Packt Publishing,"Configuration Management, Monitoring, & Security in DevOps","DevOps tools and technology frameworks to implement configuration management, monitoring, and security",3.8,11,Beginner,59 lectures,7.5 total hours,Current price: $49.99
configuration management,https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,https://img-c.udemycdn.com/course/240x135/2304734_767b.jpg,Memi Lavi,The Complete Guide to Becoming a Software Architect,"The most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.",4.6,16080,Beginner,117 lectures,6 total hours,Current price: $159.99
