skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
nextjs,https://www.udemy.com/course/nextjs-react-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/3873464_403c_3.jpg,Maximilian Schwarzmüller,Next.js 15 & React - The Complete Guide,Learn NextJS 15 from the ground up and build fullstack ReactJS + NextJS apps with the App Router or Pages Router!,4.7,22079,All Levels,453 lectures,40.5 total hours,Current price: $109.99
nextjs,https://www.udemy.com/course/reactjs-bootcamp-with-redux-nextjs-firebase-new/,https://img-c.udemycdn.com/course/240x135/6438443_67a5_4.jpg,"Kainaat Fida, Fazila B",ReactJS Bootcamp – With Redux (NextJS + Firebase) [New],"Master Fullstack Web Development with React.js, Redux, NextJS & Firebase! Learn Hooks, Router, and Firestore",5.0,259,All Levels,45 lectures,8 total hours,Current price: $54.99
nextjs,https://www.udemy.com/course/nextjs-open-ai/,https://img-c.udemycdn.com/course/240x135/5665916_d978.jpg,John Smilga,Mastering NextJS 14 & OpenAI,"Build GeniusGPT Full-Stack  App with Next.js 14+, OpenAI , Clerk Auth, Prisma, Tailwind, Shadcn-ui DaisyUI, Typescript",4.3,511,All Levels,153 lectures,13.5 total hours,Current price: $19.99
nextjs,https://www.udemy.com/course/react-js-tutorial/,https://img-c.udemycdn.com/course/240x135/2497890_744b_3.jpg,Dr. Sahand Ghavidel,"Next.js Projects - 8 NextJS 15 projects (Instagram, Google.)","Next.js 15 (reactjs framework) Projects. 8 NextJS 15 projects. IMDB, Instagram, X-Twitter, Google clone using Next js 15",4.4,833,All Levels,150 lectures,70.5 total hours,Current price: $84.99
nextjs,https://www.udemy.com/course/real-time-chat-app-with-nextjs-react-tailwind-and-shadcn/,https://img-c.udemycdn.com/course/240x135/5912932_4cf4_3.jpg,Code Complete,"Real-Time Chat App with NextJS, React, Tailwind, and Shadcn","Build and Deploy a NextJS Chat App with audio/video call using React, Tailwind, Typescript, and ShadcnUI",4.3,32,Intermediate,51 lectures,5 total hours,Current price: $69.99
nextjs,https://www.udemy.com/course/ai-react-nextjs-resume-builder/,https://img-c.udemycdn.com/course/240x135/6163637_5e0e.jpg,Ryan Dhungel,AI Multi Step Resume Builder - React NextJs ShadcnUI MongoDB,Master AI Powered FullStack Web Development with NextJS while Building A Real World Multi Step Resume Builder App,4.9,8,All Levels,72 lectures,8 total hours,Current price: $84.99
nextjs,https://www.udemy.com/course/mastering-nextjs-interview-questions-e-commerce-project/,https://img-c.udemycdn.com/course/240x135/5860008_ccc8_3.jpg,Nirmal Joshi,Mastering NextJS + Interview Questions + E-commerce Project,"NextJS 14, Pages + App Router, Prisma, SQLite, JWT, JOSE, BcryptJS, Adv. Caching, TailwindCSS, Stripe Payment gateway",4.6,18,All Levels,231 lectures,13.5 total hours,Current price: $79.99
nextjs,https://www.udemy.com/course/nextjs-ecommerce-course/,https://img-c.udemycdn.com/course/240x135/6347145_b715.jpg,Brad Traversy,Next.js Ecommerce 2025 - Shopping Platform From Scratch,"Use Next 15, React 19, TypeScript, PostgreSQL and Prisma to build a real-world ecommerce website",4.8,518,All Levels,163 lectures,22.5 total hours,Current price: $94.99
nextjs,https://www.udemy.com/course/serverless-fullstack-fundamentals-with-aws-cdk-nextjs-typescript/,https://img-c.udemycdn.com/course/240x135/5997126_1cf5_13.jpg,Armen Babakanian,Serverless Fullstack with AWS/CDK/NextJS & Typescript,"Develop and deploy a serverless web application from scratch using AWS, AWS CDK, AWS SDK, NextJS and Typescript",4.8,65,All Levels,66 lectures,16.5 total hours,Current price: $89.99
nextjs,https://www.udemy.com/course/ai-blog-automation-react-nextjs-typescript/,https://img-c.udemycdn.com/course/240x135/6227747_598a_2.jpg,Ryan Dhungel,AI Blog Automation with ReactJs NextJs GoogleAI TypeScript,"Master React, NextJs, TypeScript and AI tools to build a full-stack automated blog platform from scratch.",4.8,3,All Levels,61 lectures,7.5 total hours,Current price: $79.99
nextjs,https://www.udemy.com/course/react-nextjs-typescript-google-ai-mongodb-stripe/,https://img-c.udemycdn.com/course/240x135/6138575_4bb4.jpg,Ryan Dhungel,Building AI App with React NextJs TypeScript Google & Stripe,Master AI apps with React NextJs TypeScript MongoDB Tailwind ShadcnUI Google Gemini Stripe Subscription Webhooks Context,4.7,32,All Levels,74 lectures,8 total hours,Current price: $84.99
nextjs,https://www.udemy.com/course/nextjs-14-build-advance-job-portal-2024/,https://img-c.udemycdn.com/course/240x135/5975322_fc2a_2.jpg,aryan Kumar,Nextjs & Mern Stack   Build Advance  Job Portal  (2025),Reactjs Nextjs  node api  Build an Advanced Job Portal from Scratch in 2025,4.6,23,All Levels,524 lectures,78.5 total hours,Current price: $19.99
nextjs,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,https://img-c.udemycdn.com/course/240x135/1362070_b9a1_2.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","React - The Complete Guide 2025 (incl. Next.js, Redux)","Dive in and learn React.js from scratch! Learn React, Hooks, Redux, React Router, Next.js, Best Practices and way more!",4.6,227622,All Levels,726 lectures,71.5 total hours,Current price: $189.99
nextjs,https://www.udemy.com/course/build-and-deploy-a-full-stack-social-media-app-using-next-js/,https://img-c.udemycdn.com/course/240x135/6030728_4c28_10.jpg,"Noor Fakhry, Programming Fluency",NextJS Full Stack Social Media App -Twiddle App,"Twitter Clone: ( Next JS, React, TailwindCSS, Typescript, Clerk, MongoDB ) { Full-Stack Practical NextJS course }",4.6,13,Intermediate,93 lectures,9.5 total hours,Current price: $84.99
