skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
python,https://www.udemy.com/course/python-for-software-engineering/,https://img-c.udemycdn.com/course/240x135/4510136_b0f4_2.jpg,Max A,Python for Software Engineering Bootcamp,Go from zero to software engineer,4.4,361,Beginner,185 lectures,41 total hours,Current price: $64.99
python,https://www.udemy.com/course/100-days-of-code/,https://img-c.udemycdn.com/course/240x135/2776760_f176_10.jpg,"Dr. Angela Yu, Developer and Lead Instructor",100 Days of Code: The Complete Python Pro Bootcamp,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,361653,All Levels,592 lectures,56.5 total hours,Current price: $119.99
python,https://www.udemy.com/course/python-foundation-course/,https://img-c.udemycdn.com/course/240x135/2831076_e896.jpg,"Prashant Kumar Pandey, Satyam Kumar, Learning Journal",Python Programming - Foundation Course for Data Engineers,Just Enough Python - Quickly Learn Python Programming Fundamentals for Data Engineers with a capstone project,4.6,501,Beginner,57 lectures,4.5 total hours,Current price: $64.99
python,https://www.udemy.com/course/python-for-testers/,https://img-c.udemycdn.com/course/240x135/5393658_a552_4.jpg,Dmitry Shyshkin,Python: The Complete Guide for Software Testers,"Master Python for Testing: Automate Tests, Handle Exceptions, Explore OOP, and Dive into Python Libraries",4.6,180,Beginner,59 lectures,8.5 total hours,Current price: $19.99
python,https://www.udemy.com/course/setting-up-the-linux-terminal-for-software-development/,https://img-c.udemycdn.com/course/240x135/4761976_ed3e_3.jpg,Eric Riddoch,Taking Python to Production: A Professional Onboarding Guide,"Data scientists, analysts, and beginner devs: transition from coder to software engineer and learn to ship code",4.8,385,Beginner,175 lectures,28 total hours,Current price: $69.99
python,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",4.6,2803,All Levels,367 lectures,24.5 total hours,Current price: $89.99
python,https://www.udemy.com/course/python-for-engineers-and-scientists-basic-to-advanced/,https://img-c.udemycdn.com/course/240x135/6078403_fa8c_4.jpg,"Rafael Pereira da Silva, MSc.",Python for Engineers and Scientists / basic to advanced,"Replace Excel and Matlab with Sympy, Numpy, Pandas, Matplotlib, and Scipy; Task automation; From basic to advanced.",4.7,46,All Levels,120 lectures,14.5 total hours,Current price: $84.99
python,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
python,https://www.udemy.com/course/excellent-python-3-bootcamp-in-2023/,https://img-c.udemycdn.com/course/240x135/5166562_cdd1_3.jpg,Pruthviraja L,100 Days of Code: A Challenging Complete Python Pro Bootcamp,Master Python By Building 100 Projects In 100 Days. Become Data Science Engineer Or Data Analyst Or Software Developer,4.3,332,All Levels,108 lectures,29 total hours,Current price: $54.99
python,https://www.udemy.com/course/the-python-mega-course/,https://img-c.udemycdn.com/course/240x135/692188_9da7_35.jpg,Ardit Sulce,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",Learn Python from zero to advanced by building real programs to gain the skills needed to land an entry-level job.,4.6,70045,All Levels,459 lectures,52 total hours,Current price: $189.99
python,https://www.udemy.com/course/complete-python-bootcamp/,https://img-c.udemycdn.com/course/240x135/567828_67d0.jpg,"Jose Portilla, Pierian Training",The Complete Python Bootcamp From Zero to Hero in Python,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,4.6,533278,All Levels,156 lectures,22 total hours,Current price: $199.99
python,https://www.udemy.com/course/python-network-programming-for-network-engineers-python-3/,https://img-c.udemycdn.com/course/240x135/1554180_150a_2.jpg,"David Bombal, Experts with David Bombal",Python Network Programming for Network Engineers (Python 3),Program networks using Python version 3. Learn network programmability with this practical GNS3 and Cisco course,4.7,8837,Beginner,171 lectures,13 total hours,Current price: $99.99
python,https://www.udemy.com/course/python-programming-for-beginners-with-exercises/,https://img-c.udemycdn.com/course/240x135/5414974_e415.jpg,"in28Minutes Official, Deb, Software Developer and Lead Instructor Python Programming",[NEW] Python Bootcamp: Beginner to Master Programming,"Beginner to Python Programming? Get FREE access to 200+ Python Programming Labs for Learning, Practice and Interview.",4.5,1681,All Levels,250 lectures,21.5 total hours,Current price: $89.99
python,https://www.udemy.com/course/the-data-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6450865_98e6.jpg,365 Careers,The Data Engineer Bootcamp 2025,"Master Data Engineering, Build Scalable Pipelines, and Land a High-Paying Job. Learn with a Silicon Valley Data Engineer",4.7,49,All Levels,115 lectures,8 total hours,Current price: $54.99
python,https://www.udemy.com/course/python3-in-depth-from-beginning-to-advanced/,https://img-c.udemycdn.com/course/240x135/3884316_6c58_4.jpg,Praneeth Peiris,Python beginner to advanced complete master class (2022),Learn programming from the scratch with a professional Software Engineer!,4.8,136,Beginner,81 lectures,14.5 total hours,Current price: $59.99
python,https://www.udemy.com/course/python-pcep/,https://img-c.udemycdn.com/course/240x135/3626932_73ed_9.jpg,Adrian Wiech,Python PCEP: Become Certified Entry-Level Python Programmer,Learn Python from scratch and pass the PCEP exam (Certified Entry-Level Python Programmer),4.6,8705,Beginner,74 lectures,4 total hours,Current price: $99.99
python,https://www.udemy.com/course/python-for-engineers-scientists-and-analysts/,https://img-c.udemycdn.com/course/240x135/6171961_d1bb_5.jpg,Harry Munro,The 10-Day Python Bootcamp for Engineers and Scientists 2025,"Bite-sized chunks of learning: practical coding skills for working with data, visualisation, modelling and simulation.",4.5,284,Beginner,71 lectures,1.5 total hours,Current price: $64.99
python,https://www.udemy.com/course/automated-software-testing-with-python/,https://img-c.udemycdn.com/course/240x135/1319746_e9b5_4.jpg,"Jose Salvatierra, Teclado by Jose Salvatierra",Automated Software Testing with Python,"Learn about automated software testing with Python, BDD, Selenium WebDriver, and Postman, focusing on web applications",4.4,5615,Intermediate,142 lectures,13.5 total hours,Current price: $94.99
python,https://www.udemy.com/course/python-for-engineers/,https://img-c.udemycdn.com/course/240x135/2147514_3eb4_3.jpg,mohammad athar,Python for Engineers,"calculation, simulation, and machine learning",4.1,45,Beginner,9 lectures,2 total hours,Current price: $44.99
python,https://www.udemy.com/course/chatgpt-masterclass-for-programmers-and-software-engineers/,https://img-c.udemycdn.com/course/240x135/5089220_9eb3_4.jpg,Mary-Brenda Akoda,ChatGPT Masterclass for Programmers and Software Engineers,"An AI Grad's Guide: OpenAI's ChatGPT & Prompt Engineering in Python for Software Development, Testing, Interviews & More",4.1,206,All Levels,32 lectures,5 total hours,Current price: $34.99
