skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
software architecture,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,https://img-c.udemycdn.com/course/240x135/3997622_0670_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",4.7,11311,All Levels,45 lectures,7 total hours,
software architecture,https://www.udemy.com/course/software-architecture-system-design-practical-case-studies/,https://img-c.udemycdn.com/course/240x135/4696446_b345_4.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & System Design Practical Case Studies,"Design Real-life Large Scale Systems, Practice Modern Software Architecture & Prepare for a System Design Interview",4.8,1461,All Levels,26 lectures,4 total hours,Current price: $79.99
software architecture,https://www.udemy.com/course/master-software-architecture-system-design-for-developers/,https://img-c.udemycdn.com/course/240x135/6216121_668f_2.jpg,Munawar Ali,Master Software Architecture & System Design for Developers,"Master System Design, Software Architectures, Microservices Architecture, AWS - To Crack Interviews or become Architect",4.9,26,All Levels,350 lectures,15.5 total hours,Current price: $44.99
software architecture,https://www.udemy.com/course/the-complete-cloud-computing-software-architecture-patterns/,https://img-c.udemycdn.com/course/240x135/4472674_020e_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",The Complete Cloud Computing Software Architecture Patterns,"Architect Large Scale Systems using Cloud Computing, Software Architecture Patterns & Modern System Design Principles",4.7,2216,All Levels,26 lectures,4.5 total hours,Current price: $84.99
software architecture,https://www.udemy.com/course/developer-to-architect/,https://img-c.udemycdn.com/course/240x135/3768806_69be_7.jpg,NewTechWays - Anurag Yadav,Software Architecture & Technology of Large-Scale Systems,"Learn Architecting Software Systems with High Performance, Scalability, Availability, Security using Modern Technologies",4.5,6864,Intermediate,256 lectures,25.5 total hours,
software architecture,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
software architecture,https://www.udemy.com/course/software-architecture-case-studies/,https://img-c.udemycdn.com/course/240x135/2840950_1bba.jpg,Memi Lavi,Software Architecture Case Studies,Become an even better Software Architect by learning from real-world architecture case studies.,4.5,4676,,Expert,3.5 total hours,
software architecture,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
software architecture,https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,https://img-c.udemycdn.com/course/240x135/2304734_767b.jpg,Memi Lavi,The Complete Guide to Becoming a Software Architect,"The most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.",4.6,16096,Beginner,117 lectures,6 total hours,
software architecture,https://www.udemy.com/course/software-architecture-security-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/3081656_606f.jpg,Memi Lavi,Software Architecture Security - The Complete Guide,Become a better Software Architect by designing secure systems,4.5,5618,Intermediate,59 lectures,4.5 total hours,
software architecture,https://www.udemy.com/course/communicate-efficiently-with-software-architecture-diagrams/,https://img-c.udemycdn.com/course/240x135/4369128_2468_6.jpg,Simon Lasselsberger,Communicate efficiently with Software Architecture Diagrams,"Become an expert in crafting clear, simple, and easy-to-understand diagrams.",4.8,12,All Levels,17 lectures,1.5 total hours,
software architecture,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12122,All Levels,102 lectures,8.5 total hours,
software architecture,https://www.udemy.com/course/implementing-software-architecture/,https://img-c.udemycdn.com/course/240x135/4248486_f030_4.jpg,NewTechWays - Anurag Yadav,Implementing Software Architecture of a Large-Scale System,A hands-on approach to Software Solution Architecture of large-scale systems using modern methods & open source products,4.6,562,Intermediate,83 lectures,11.5 total hours,
