skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
udp,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
udp,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12122,All Levels,102 lectures,8.5 total hours,Current price: $109.99
udp,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
udp,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",4.6,2803,All Levels,367 lectures,24.5 total hours,Current price: $89.99
udp,https://www.udemy.com/course/software-engineer-interview-unleashed/,https://img-c.udemycdn.com/course/240x135/960796_025f_4.jpg,Jeff Bae,Software Engineer Interview Unleashed,Learn how to make yourself ready for software engineer interviews from a former Google interviewer.,4.2,1206,All Levels,41 lectures,7 total hours,Current price: $69.99
udp,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,https://img-c.udemycdn.com/course/240x135/3997622_0670_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",4.7,11311,All Levels,45 lectures,7 total hours,Current price: $109.99
udp,https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,https://img-c.udemycdn.com/course/240x135/2304734_767b.jpg,Memi Lavi,The Complete Guide to Becoming a Software Architect,"The most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.",4.6,16096,Beginner,117 lectures,6 total hours,Current price: $159.99
udp,https://www.udemy.com/course/master-uml-pro-with-ease-unlock-your-future-software-architect/,https://img-c.udemycdn.com/course/240x135/5525234_4c7f_7.jpg,Santanu Das,UML Course for Software Engineers!,Unlock Architect-Level Design Skills with UML and AI: Turn Complex Systems into Child's Play!,4.5,30,All Levels,39 lectures,7.5 total hours,Current price: $49.99
udp,https://www.udemy.com/course/testerbootcamp/,https://img-c.udemycdn.com/course/240x135/2125112_86f5_8.jpg,"Tarek Roshdy, Nezam Academy, Nezam Team",The Complete 2025 Software Testing Bootcamp,Your Step-by-Step Guide to Becoming a Professional Software Tester,4.5,33957,Beginner,395 lectures,37.5 total hours,Current price: $119.99
udp,https://www.udemy.com/course/complete-software-engineering-course-build-develop-better-software/,https://img-c.udemycdn.com/course/240x135/5663686_5172_6.jpg,Yogesh Dahake,Complete Software Engineering Course : Build Better Software,"Learn Everything of Software Engineering : Plan, Design ,Develop, Test and Execute Software's using Software Engineering",4.3,228,All Levels,196 lectures,15 total hours,Current price: $19.99
udp,https://www.udemy.com/course/league-of-sales-engineers/,https://img-c.udemycdn.com/course/240x135/5100920_be3f_2.jpg,Ryan Friess,Sales Engineer and Solutions Engineer: Sales & Tech Training,Master the Art of Sales and Technology to Drive Business Success as a Sales Engineer and Solutions Engineer,4.5,347,All Levels,29 lectures,6 total hours,Current price: $84.99
udp,https://www.udemy.com/course/udpsocketprogramming/,https://img-c.udemycdn.com/course/240x135/536426_3027_3.jpg,Naeem Akram,UDP Socket Programming For Distributed Computing in C#.Net,"Socket programming tutorial, make chat application in C# .Net, IoT/VoIP distributed applications & network programming",4.5,168,All Levels,50 lectures,3 total hours,Current price: $44.99
udp,https://www.udemy.com/course/low-level-system-design/,https://img-c.udemycdn.com/course/240x135/6213077_f96e_4.jpg,Prateek Narang Sr. Software Engineer Google,"Low Level System Design, Design Patterns & SOLID Principles",Master Proven Design Techniques and SOLID Principles to Build Robust and Scalable Systems!,4.6,473,All Levels,70 lectures,9 total hours,Current price: $74.99
udp,https://www.udemy.com/course/cisco-bgp-masterclass/,https://img-c.udemycdn.com/course/240x135/4805092_a2f8_2.jpg,Neil Anderson,Cisco BGP Masterclass for Enterprise Network Engineers,Become a BGP expert with full hands-on lab exercises included.,4.7,851,Intermediate,57 lectures,16.5 total hours,Current price: $84.99
udp,https://www.udemy.com/course/google-cloud-certification-associate-cloud-engineer/,https://img-c.udemycdn.com/course/240x135/3827154_aecc_4.jpg,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",GCP Associate Cloud Engineer - Google Cloud Certification,GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!,4.6,31693,All Levels,299 lectures,18 total hours,Current price: $109.99
udp,https://www.udemy.com/course/english-for-software-engineers-speak-like-a-pro/,https://img-c.udemycdn.com/course/240x135/5994132_3cb4.jpg,Terry Mc Gonigle,English for Software Engineers:Boost Your Global Tech Career,Master English Communication for Global Software Engineering Success,4.7,67,Beginner,44 lectures,4.5 total hours,Current price: $64.99
udp,https://www.udemy.com/course/the-practical-and-complete-bpmn-20-master-class/,https://img-c.udemycdn.com/course/240x135/1410180_489f_5.jpg,"Fabian Hinsenkamp | Senior Software Engineer @Microsoft, Sebastian Lesser",The Practical BPMN 2.0 Master Class,Learn to craft expressive BPMN flow charts through dozens of real-world business cases and exercises!,4.6,8770,All Levels,58 lectures,1.5 total hours,Current price: $79.99
udp,https://www.udemy.com/course/master-python-network-automation-for-network-engineers/,https://img-c.udemycdn.com/course/240x135/1909942_c292_13.jpg,"Andrei Dumitrescu, Crystal Mind Academy",Master Network Automation with Python for Network Engineers,"Real-life hands-on Python and Ansible automation: SSH, Paramiko, Netmiko, Napalm, Telnet, Ansible, Cisco, Linux etc",4.6,3701,All Levels,252 lectures,23.5 total hours,Current price: $99.99
udp,https://www.udemy.com/course/fastapi-for-busy-software-engineers/,https://img-c.udemycdn.com/course/240x135/4571398_cb93_5.jpg,Christopher Samiullah,FastAPI for Busy Software Engineers,The No-Fluff Guide to FastAPI,4.4,111,Intermediate,48 lectures,4 total hours,Current price: $54.99
udp,https://www.udemy.com/course/comprehensive-software-testing-bootcamp-beginner-to-expert/,https://img-c.udemycdn.com/course/240x135/5833748_65ca_3.jpg,Sanketh Shanbhag,Learn Software Testing : Beginner to Expert.,A Software Testing Bootcamp for beginners aiming to shape their careers in Software Testing and Quality Assurance (QA),4.5,125,Beginner,134 lectures,35 total hours,Current price: $64.99
