skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
golang,https://www.udemy.com/course/go-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/1309202_1231_4.jpg,Stephen Grider,Go: The Complete Developer's Guide (Golang),Master the fundamentals and advanced features of the Go Programming Language (Golang),4.6,39820,All Levels,91 lectures,9 total hours,Current price: $94.99
golang,https://www.udemy.com/course/building-modern-web-applications-with-go/,https://img-c.udemycdn.com/course/240x135/3579383_3c67_4.jpg,Trevor Sawler,Building Modern Web Applications with Go (Golang),Learn to program in Go from an award winning university professor,4.7,5388,All Levels,183 lectures,29.5 total hours,Current price: $84.99
golang,https://www.udemy.com/course/go-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/5652172_fc8b.jpg,Maximilian Schwarzmüller,Go - The Complete Guide,"Learn Go (Golang) from the ground up & in great depth by building multiple demo projects, incl. a REST API",4.7,5459,All Levels,199 lectures,15.5 total hours,Current price: $19.99
golang,https://www.udemy.com/course/go-programming-language/,https://img-c.udemycdn.com/course/240x135/1002030_f3e0_5.jpg,Todd McLeod,Web Development w/ Google’s Go (golang) Programming Language,Learn Web Programming from a University Professor in Computer Science with over 20 years of teaching experience.,4.6,7656,Intermediate,173 lectures,19 total hours,Current price: $89.99
golang,https://www.udemy.com/course/go-golang-develop-modern-fast-secure-web-applications/,https://img-c.udemycdn.com/course/240x135/5102784_b954_3.jpg,Jens Schendel,"GO (golang): Develop Modern, Fast & Secure Web Applications",A comprehensive introduction to developing fast & secure web applications in GO (beginners & fairly advanced developers),4.5,42,Intermediate,177 lectures,50.5 total hours,Current price: $79.99
golang,https://www.udemy.com/course/backend-master-class-golang-postgresql-kubernetes/,https://img-c.udemycdn.com/course/240x135/3959106_03de_6.jpg,TECH SCHOOL,Backend Master Class [Golang + Postgres + Kubernetes + gRPC],"Learn everything about backend web development: Golang, Postgres, Redis, Gin, gRPC, Docker, Kubernetes, AWS, CI/CD",4.5,2693,All Levels,81 lectures,19 total hours,Current price: $94.99
golang,https://www.udemy.com/course/go-web-development-create-powerful-servers-with-golang/,https://img-c.udemycdn.com/course/240x135/6470539_38f4_4.jpg,Rajanlagah Lagah,Golang Web Development: Create Powerful Servers with Golang,The Easiest Guide to Building Scalable Servers!,4.9,9,Beginner,36 lectures,3.5 total hours,Current price: $44.99
golang,https://www.udemy.com/course/learn-how-to-code/,https://img-c.udemycdn.com/course/240x135/642102_4e20_2.jpg,Todd McLeod,Learn How To Code: Google's Go (golang) Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,4.6,23186,All Levels,301 lectures,29 total hours,Current price: $89.99
golang,https://www.udemy.com/course/backend-engineering-with-go/,https://img-c.udemycdn.com/course/240x135/6200103_4c12_2.jpg,Tiago Taquelim,Backend Engineering with Go,"The complete guide for building and deploying production web APIs in Golang (PostgreSQL, Docker and Google Cloud)",4.4,320,All Levels,83 lectures,17 total hours,Current price: $89.99
golang,https://www.udemy.com/course/go-programming-language-google-golang-guide-bootcamp-masterclass/,https://img-c.udemycdn.com/course/240x135/4594428_301c_4.jpg,"Donatus Obomighie, PhD, MSc, PMP",Go: The Complete Modern Golang Developer's Guide,Golang: Master the Go Programming Language from the fundamentals to advanced with a lot of real exercises and solutions.,4.7,28,All Levels,476 lectures,11 total hours,Current price: $64.99
