skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
nosql database,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/1906852_93c6_2.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",MongoDB - The Complete Developer's Guide 2025,"Master MongoDB Development for Web & Mobile Apps. CRUD Operations, Indexes, Aggregation Framework - All about MongoDB!",4.6,26573.0,All Levels,266 lectures,17.5 total hours,
nosql database,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902.0,All Levels,730 lectures,74 total hours,Current price: $149.99
nosql database,https://www.udemy.com/course/nosql-databases-for-beginners/,https://img-c.udemycdn.com/course/240x135/1117836_50b4_2.jpg,Bluelime Learning Solutions,NoSQL Databases For Beginners,Learn to Store and Retrieve Data  from a Database without using SQL,3.7,186.0,Beginner,83 lectures,7 total hours,
nosql database,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983.0,All Levels,374 lectures,61.5 total hours,
nosql database,https://www.udemy.com/course/cassandra-essentials/,https://img-c.udemycdn.com/course/240x135/6388385_7c5d.jpg,Koushik Kothagal,Cassandra Essentials: NoSQL Distributed Data for Developers,"Master Cassandra & NoSQL fundamentals — covering architecture, replication, data modeling, and consistency.",5.0,3.0,All Levels,44 lectures,6 total hours,Current price: $44.99
nosql database,https://www.udemy.com/course/practical-database-guide-with-rdbmsmysql-nosqlmongodb/,https://img-c.udemycdn.com/course/240x135/3807344_ac16_2.jpg,Nirmal Joshi,Practical Database Guide with RDBMS(MySQL) & NoSQL(MongoDB),"Data Types, Functions, Operators, JOINS, Store Procedures, Indexing with real-world interview questions, assignments...",4.4,72.0,All Levels,103 lectures,7.5 total hours,
nosql database,https://www.udemy.com/course/learn-nosql-databases-complete-mongodb-bootcamp-2019/,https://img-c.udemycdn.com/course/240x135/2162940_efc2_4.jpg,Mark Nielsen,MongoDB - Learn NoSQL Databases - Complete Bootcamp,Master MongoDB and go from Beginner to pro. Start your career with NoSQL Databases in this complete MongoDB bootcamp.,4.5,161.0,Beginner,28 lectures,1.5 total hours,
nosql database,https://www.udemy.com/course/mastering-apache-cassandra-developer-and-admin-from-scratch/,https://img-c.udemycdn.com/course/240x135/683126_67c8.jpg,Easylearning guru,Mastering  Apache Cassandra Developer and Admin from Scratch,Master Cassandra Developer and Admin concepts and techniques for web development. Become a Master in NOSQL database.,3.7,90.0,All Levels,100 lectures,6.5 total hours,Current price: $44.99
nosql database,https://www.udemy.com/course/the-complete-mongodb-course/,https://img-c.udemycdn.com/course/240x135/4336104_6211_9.jpg,Malvik Vaghadia,The Complete MongoDB Course,"Learn about NoSQL Document Databases and master Mongo Query Language, Aggregation Pipelines and more!",4.6,1649.0,Beginner,96 lectures,8 total hours,Current price: $84.99
nosql database,https://www.udemy.com/course/learn-cassandra-from-scratch/,https://img-c.udemycdn.com/course/240x135/2066221_b89b_14.jpg,Navdeep Kaur,Learn Apache Cassandra in 2 hours | NoSQL Database,A complete  guide to learn most popular NoSQL Database Cassandra with hands on,4.3,2611.0,All Levels,30 lectures,2.5 total hours,
nosql database,https://www.udemy.com/course/mongodb-database-developer-course-in-python/,https://img-c.udemycdn.com/course/240x135/4271792_acd2.jpg,Raymond Andrade,MongoDB Database Developer Course In Python,Learn the powerful features of one of the most popular document-oriented database using Python code.,4.4,390.0,All Levels,69 lectures,9 total hours,Current price: $84.99
nosql database,https://www.udemy.com/course/learn-how-python-works-with-mongodb-pymongo-in-9hrs/,https://img-c.udemycdn.com/course/240x135/621096_2ac1_3.jpg,Easylearning guru,Learn How Python Works with NoSql Database MongoDB: PyMongo,Learn how to integrate utilities of Python with the easy handling of big-data using MongoDB as the database.,3.5,110.0,Intermediate,76 lectures,11.5 total hours,Current price: $44.99
nosql database,https://www.udemy.com/course/understanding-couchdb/,https://img-c.udemycdn.com/course/240x135/1241148_7a52_4.jpg,Gregory (Mad Pink) Miller,Understanding CouchDB 3: Learn Basic & Advanced NoSQL Skills,Learn this NoSQL Database and Go From Beginner to Advanced with CouchDB,4.2,784.0,All Levels,53 lectures,7 total hours,
nosql database,https://www.udemy.com/course/nosql-databases-with-mongodb/,https://img-c.udemycdn.com/course/240x135/6460339_4d29_2.jpg,Frontend Coach,NoSQL Databases with MongoDB,Master the NoSQL database MongoDB and enhance your data management skills,,,All Levels,229 questions,,Current price: $44.99
nosql database,https://www.udemy.com/course/sql-nosql-big-data-hadoop/,https://img-c.udemycdn.com/course/240x135/1734696_c0b1_3.jpg,Michael Enudi,"SQL, NoSQL, Big Data and Hadoop","A comprehensive journey through the world of database and data engineering concepts  - from SQL, NoSQL to Hadoop",3.9,489.0,All Levels,129 lectures,22 total hours,
nosql database,https://www.udemy.com/course/web-dev-master/,https://img-c.udemycdn.com/course/240x135/6035102_7d1a.jpg,Hitesh Choudhary,Complete web development course,"Only web development course that you will need. Covers HTML, CSS, Tailwind, Node, React, MongoDB, Prisma, Deployment etc",4.7,9477.0,All Levels,231 lectures,79.5 total hours,Current price: $79.99
