skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
rest web services (jax-rs),https://www.udemy.com/course/rest-api-using-java/,https://img-c.udemycdn.com/course/240x135/1958098_d9db_4.jpg,"StudyEasy Organization, Chand Sheikh",Master Java Web Services: Restful API (JAX RS),"Learn building Restful API based application with Java, FREE 6-month IDE.",4.5,126,Beginner,89 lectures,10.5 total hours,Current price: $64.99
rest web services (jax-rs),https://www.udemy.com/course/develop-restful-java-web-services-using-jax-rs-and-jersey/,https://img-c.udemycdn.com/course/240x135/2194420_4f58_3.jpg,Vinod Kumar Kayartaya,Develop RESTful Java Web Services using JAX-RS and Jersey,Everything you need to know for developing your RESTful web service.,4.4,178,All Levels,30 lectures,2 total hours,Current price: $49.99
rest web services (jax-rs),https://www.udemy.com/course/java-ee-8-tutorials-restful-web-services-with-jax-rs-21-for-java-devs/,https://img-c.udemycdn.com/course/240x135/1257336_364b_6.jpg,Luqman Saeed,Practical RESTful Web Services with Java EE 8 (JAX-RS 2.1),Your Complete Guide to Developing RESTful Web Services (JAX-RS 2.1) on the Next Generation Java EE Platform,3.5,109,All Levels,170 lectures,8.5 total hours,Current price: $59.99
rest web services (jax-rs),https://www.udemy.com/course/spring-web-services-tutorial/,https://img-c.udemycdn.com/course/240x135/1302610_5c62_4.jpg,in28Minutes Official,Master Java Web Services and REST API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,4.5,16044,All Levels,154 lectures,13.5 total hours,Current price: $129.99
rest web services (jax-rs),https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983,All Levels,374 lectures,61.5 total hours,Current price: $119.99
rest web services (jax-rs),https://www.udemy.com/course/api-and-web-service-introduction/,https://img-c.udemycdn.com/course/240x135/1677376_3eac_3.jpg,Nate Ross,API and Web Service Introduction,"Includes API, Web Services using REST, JSON, XML, HTTP, SOAP, OAuth, OpenID Connect, Postman and Python",4.5,35125,Beginner,57 lectures,7 total hours,Current price: $109.99
rest web services (jax-rs),https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,https://img-c.udemycdn.com/course/240x135/694982_33b0_3.jpg,Rahul Shetty,Rest API Testing (Automation) from Scratch-Rest Assured Java,Top Ranked #1 Rest API Test Automation & postman tutorial with Java from Basics to Framework with Real time examples,4.6,42223,All Levels,151 lectures,24.5 total hours,Current price: $149.99
rest web services (jax-rs),https://www.udemy.com/course/java-web-services/,https://img-c.udemycdn.com/course/240x135/345340_1d59_8.jpg,Bharath Thippireddy,Java Web Services,"Learn how to design,create , consume and secure SOAP   and REST web services  from scratch in easy steps.",4.3,9634,All Levels,338 lectures,17 total hours,Current price: $119.99
rest web services (jax-rs),https://www.udemy.com/course/javawebservices/,https://img-c.udemycdn.com/course/240x135/1530886_a460.jpg,"The Startup Central Co., Rochak Shastri","Java Web Services For Beginners (SOAP, REST, Spring & XML)","Learn to develop Java Web Services with RESTful API and SOAP in just 1 week. JSON, Maven, JAX-WS, Apache, JAXB & more!",3.7,144,All Levels,25 lectures,5.5 total hours,Current price: $44.99
rest web services (jax-rs),https://www.udemy.com/course/application-programming-interface/,https://img-c.udemycdn.com/course/240x135/4322366_8082_2.jpg,Eric Roby,Application Programming Interface: API and Web Services,"Learn APIs and Web Services using REST, SOAP, JSON, XML, HTTP, Authorization, Authentication, JWT, Postman and Python",4.3,198,All Levels,56 lectures,4.5 total hours,Current price: $59.99
rest web services (jax-rs),https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902,All Levels,730 lectures,74 total hours,Current price: $149.99
rest web services (jax-rs),https://www.udemy.com/course/learn-html-javascript-restful-api-from-scratch-web-services/,https://img-c.udemycdn.com/course/240x135/4717918_ce38_4.jpg,Metla Sudha Sekhar,"Learn Restful WEB API, JavaScript and HTML: Web Services","Restful Web API Services PHP with MySQL, POSTMAN, JSON object and JWT token authentication",4.4,99,All Levels,111 lectures,12 total hours,Current price: $54.99
rest web services (jax-rs),https://www.udemy.com/course/rest-api/,https://img-c.udemycdn.com/course/240x135/802366_74df_4.jpg,Rajeev Sakhuja,"REST API Design, Development & Management","Learn the REST API Concepts, Design best practices, Security practices, Swagger 2.0/OAI, Hands on API Management",4.5,12125,All Levels,60 lectures,7.5 total hours,Current price: $109.99
rest web services (jax-rs),https://www.udemy.com/course/api-with-postman-for-absolute-beginners/,https://img-c.udemycdn.com/course/240x135/2912472_af7b_3.jpg,"Valentin Despa, Valentin Despa - Support",Introduction to REST APIs for Absolute Beginners,Learn how to use Postman to build REST & GraphQL requests,4.7,6122,Beginner,51 lectures,3.5 total hours,Current price: $79.99
rest web services (jax-rs),https://www.udemy.com/course/django-rest-framework/,https://img-c.udemycdn.com/course/240x135/3856080_6aff_7.jpg,Shubham Sarda,Build REST APIs with Django REST Framework and Python,"Learn Basics to Advanced Django REST Framework by building IMDB API Clone (JWT, Token, Throttling, Pagination, Testing)",4.5,1830,All Levels,74 lectures,13 total hours,Current price: $74.99
rest web services (jax-rs),https://www.udemy.com/course/java-ee-8-cookbook-mastering-rest-web-services-with-jax-rs/,https://img-c.udemycdn.com/course/240x135/1501812_4028_2.jpg,Luqman Saeed,Java EE 8 RESTful Web Services Cookbook,"A solution driven approach to REST web services with Java EE 8 using JAX-RS, JPA, CDI and Payara Micro app server",4.2,52,All Levels,81 lectures,6.5 total hours,Current price: $54.99
rest web services (jax-rs),https://www.udemy.com/course/javawebservicespart2/,https://img-c.udemycdn.com/course/240x135/1053406_914a_3.jpg,Bharath Thippireddy,Java Web Services Part 2 - SOAP and REST Security,Master advanced web services concepts and implement them in easy steps,4.6,834,Intermediate,109 lectures,4.5 total hours,Current price: $84.99
rest web services (jax-rs),https://www.udemy.com/course/restful-web-services-with-java-in-less-than-a-month/,https://img-c.udemycdn.com/course/240x135/1473758_2522_2.jpg,Esteban Rincon,RESTful Web Services with Java in less than a month!,Create RESTful Web Services using Java's JAX-RS specification,3.8,22,Beginner,26 lectures,4 total hours,Current price: $19.99
rest web services (jax-rs),https://www.udemy.com/course/learn-api-rest-json-xml-and-web-basics/,https://img-c.udemycdn.com/course/240x135/6478823_e273.jpg,Srini Vanamala,"Learn API, REST, JSON, XML and WEB Basics","If You Are Struggling To Understand API, REST, JSON, XML and Web Concepts Then Take This Course.",5.0,5,Beginner,35 lectures,5.5 total hours,Current price: $44.99
rest web services (jax-rs),https://www.udemy.com/course/restful-routing-with-practical-examples/,https://img-c.udemycdn.com/course/240x135/4095530_68f8_3.jpg,AM Learning,Learn how to call REST APIs using JavaScript,"Understand Restful Routing, Work on Practical examples, Discover online REST APIs, and Learn how to call REST APIs",4.8,19,Beginner,12 lectures,,Current price: $44.99
