skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
ms access,https://i.ytimg.com/vi/ubmwp8kbfPc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBRYdYxCfparydF6xl8ISdBaopUQw,https://youtube.com/watch?v=ubmwp8kbfPc&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,How to use Microsoft Access - Beginner Tutorial,3.7M views,4 years ago,Kevin Stratvert,"In this step-by-step tutorial, learn how to use Microsoft Access . We walk what Access is for, why you should use it over a ...",31:07,17,"['Introduction', 'Advantages of a database over Excel', 'Access alternatives', 'Overview of tutorial structure', 'Access start page', 'Create blank database', 'Tables, fields & records', 'Calculated field & expression builder', 'Sample order data', 'Opening & closing windows', 'Relationships', 'Import data sources', 'Forms', 'Queries', 'Reports', 'Save Database', 'Wrap up']"
ms access,https://i.ytimg.com/vi/HDbGw1TInPk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDgbVw9RlebHPmX7w3lhkWiSWJ0hA,https://youtube.com/watch?v=HDbGw1TInPk&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,Microsoft Access - Tutorial for Beginners in 12 MINS!  [ + AI USE ],187K views,1 year ago,Skills Factory,"Learn how to use Microsoft Access in 12 mins with ChatGPT AI support! Microsoft Access tutoring, Ms Access tutoring.",12:02,16,"['Introduction', 'Start-up Page', 'Main Interface, Theme', 'Build a Table', 'Import External Data', 'Calculated Fields', 'Manage Table', 'Preview Type', 'Navigation Pane', 'Forms', 'Queries', '[NEW] Queries with ChatGPT', 'Reports', 'Build a Macro', '[NEW] Modules with ChatGPT', 'Save & Export Data']"
ms access,https://i.ytimg.com/vi/ktqPDWV-HY0/hqdefault.jpg?sqp=-oaymwFBCOADEI4CSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AHUBoAC4AOKAgwIABABGD8gWyhlMA8=&rs=AOn4CLAAn1SKRlTSgOaDAixihtSghAT2tg,https://youtube.com/watch?v=ktqPDWV-HY0&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,BUSINESS ANALYTICS Access Tutorial INSY 2301,199 views,11 years ago,Shannen Heath,This access tutorial runs through Parts 1-3 of the Business Analytics Assignment for Professor Yim's Information Systems II class at ...,24:06,,
ms access,https://i.ytimg.com/vi/0uSnArLKCjI/hqdefault.jpg?sqp=-oaymwFBCOADEI4CSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGA8gZShdMA8=&rs=AOn4CLB6oGcyQSmYN4j1MuqxfFT4lg20Ww,https://youtube.com/watch?v=0uSnArLKCjI&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,How to Make Pivot Table In MS Access ||Cross tab Query in MS Access,204 views,2 years ago,The Business Analyst,"Hi everyone in this video you will learn, how to make a pivot table in ms access or how to use cross tab query in ms access .",1:42,,
ms access,https://i.ytimg.com/vi/3V5cO9o7Bsc/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACyAeKAgwIABABGGUgZShlMA8=&rs=AOn4CLBlimunXgEKhVqlFK4ew6bHcGHZ1A,https://youtube.com/watch?v=3V5cO9o7Bsc&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,Why interest on term loan added in both Numerator and Denominator in DSCR?,170 views,1 day ago,CA Raja Classes,"Thanks for watching this Webinar. If you're eager to enhance your skills in credit and financial analysis , we have an exclusive ...",3:39,,
ms access,https://i.ytimg.com/vi/UJw6dHwQyWo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAIGQ1QByogt5H7MzTjAhvI8ln2Ww,https://youtube.com/watch?v=UJw6dHwQyWo&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,Access or Excel: Which is the Best for Your Data Needs?,67K views,2 years ago,Simple Sheets,"Are you trying to decide between using Microsoft Access or Excel for your data management needs? In this video, we'll explore ...",3:40,5,"['OBJECTIVE', 'STORAGE CAPACITY', 'ADAPTABILITY', 'EASE OF LEARNING', 'BUILDING SYSTEMS']"
ms access,https://i.ytimg.com/vi/jCG2MTH9Ftw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBJHP8aOYjv66sfIuX_8CDEjtzE_g,https://youtube.com/watch?v=jCG2MTH9Ftw&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,Microsoft Access Tutorial: 7 Hours of Beginner to Advanced Training,290K views,2 years ago,Simon Sez IT,"In this Access 2019 Beginner to Advanced training course , we cover the basics of Microsoft Access and expand to more advanced ...",6:53:22,50,"['Simon Sez IT Intro', 'Introduction to Access 2019', 'Acquiring Access 2019', 'Structure of the Course', 'Using Database Template', 'Creating, Saving, and Opening Databases', 'Access Workspace and Backstage', 'Online Help', 'Working with the Ribbon', 'Quick Access Toolbar', 'Contextual Menus', 'The Status Bar', 'Keyboard Shortcuts', 'Key Tips', 'Access Options', 'Creating a Table and Fields', 'Indexing Fields', 'Lookup Wizard', 'Numeric Fields', 'Exercise 01', 'Importing Data from Excel', 'Exercise 02', 'Backing Up Your Database', 'Compact and Repair', 'Design in the Datasheet View', 'Sorting and Filtering in Datasheet View', 'Entering and Modifying Data in Datasheet View', 'Creating a Link Table', 'Setting Up Relationships', 'Exercise 03', 'Advanced Course Overview and Content', 'Primary Keys and Indexing Rules and Guidelines', 'More About Indexes', 'Setting Up Northwind Database', 'Working in Datasheet View', 'Customizing Datasheet View, Sorting and Filtering Options', 'Subdatasheets', 'Exercise 01', 'Linking to Tables in Other Databases', 'Acquiring and Installing SQL Server Express', 'Exercise 02', 'Splitting Database into Front-end and Back-end', 'Converting a Shared Table into a Local Table', 'Exercise 03', 'Addressing Multi-User Issues when Sharing Data', 'Basics of Macros', 'Macros on Events; AutoExec', 'More about AutoExec', 'Macro Security Settings', 'Exercise 04']"
ms access,https://i.ytimg.com/vi/JHToCDNyO3g/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC0RxRPaDw6ylLTKbEA00Gq3qWlAw,https://youtube.com/watch?v=JHToCDNyO3g&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,Microsoft Access 2021 Beginner to Advanced Training: 5+ Hour Tutorial Course,38K views,1 year ago,Simon Sez IT,Embark on a comprehensive journey from a beginner to an advanced user with our Microsoft Access 2021 training course !,5:46:08,54,"['Acquiring Access 2021', ""What's New in Access 2021"", 'Exercise 01', 'Use Database Templates', 'Create, Save and Open Databases', 'Expose the Access Interface and Backstage', 'Customize the Quick Access Toolbar', 'Access Menus', 'Keyboard Shortcuts & Key Tips', 'Online Help', 'Access Options', 'Exercise 02', 'Create a Table and Fields', 'Index Fields, Primary Keys and Add Records', 'Use the Lookup Wizard to Create a Drop-down List', 'Numeric and Data Validation Rules', 'Add More Table Fields', 'Exercise 03', 'Importing Data from Excel', 'Import Data from a Text File', 'Exercise 04', 'Design in the Datasheet View', 'Sort and Filter in Datasheet View', 'Enter and Modify Data in Datasheet View', 'Exercise 05', 'Relationships Explained', 'Set Up Relationship', 'Create a Link: Part 1', 'Create a Link: Part 2', 'Edit the Link Table', 'Exercise 06', 'Advanced Course Intro', 'Setup for Success', 'Primary Keys and Indexing', 'More About Indexes', 'Setup Northwind Database', 'Work in Datasheet View', 'Customize Datasheet View', 'Advanced Sort and Filter', 'Subdatasheets', 'Exercise 01', 'Link Tables to Other Access Database', 'Install SQL Server Express', 'Setup SQL Server Express', 'Exercise 02', 'Split an Access Database into Frontend and Backend', 'Convert to Local Table', 'Addressing Multi-user Issues When Sharing', 'Exercise 03', 'Basics of Macros', 'Macros On-Events; AutoExec', 'More About AutoExec', 'Macro Security Settings', 'Exercise 04']"
ms access,https://i.ytimg.com/vi/VlFQGTcuPgU/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AG-B4AC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLDXJYWnqLxW-2ejZUx0CyBMXZJPHA,https://youtube.com/watch?v=VlFQGTcuPgU&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,APP126 - Chapter 1 - Microsoft Access,383 views,10 years ago,Professor Greer,,52:23,16,"['Intro', 'Save Database', 'Create Table', 'Create New Table', 'Design View', 'Table View', 'Table Structure', 'Insert Fields', 'Exit Database', 'Print Database', 'Create a New Table', 'Create Text Fields', 'Create Secondary Tables', 'Import Data', 'Client Table', 'Query']"
ms access,https://i.ytimg.com/vi/k81ROmbZ3k4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAZx2rBsdp3QVGfBew5W5dC7j_n4w,https://youtube.com/watch?v=k81ROmbZ3k4&pp=ygUrQ291cnNlIG1zIGFjY2VzcyBtcyBhY2Nlc3MgQnVzaW5lc3MgQW5hbHlzdNIHCQl-CQGHKiGM7w%3D%3D,"Advanced Excel,VBA,SQL Server,MS BI,MS Access, Business Analytic",273 views,10 years ago,OAC institute,"Analytic with SPSS Ø Advanced Excel and VBA Training Ø SQL Server2008 Ø MS BI (SSAS, SSIS, SSRS) Ø Business Statistics ...",0:25,,
